StockID,Date,open,close,high,low,vol,OI,SettleDate,signal,
IF1704,20170405,3485,3507.2,3511.2,3471.8,16966,32358,20170421,,
IF1705,20170405,3460,3492,3495,3456,1097,2970,20170519,,
IF1706,20170405,3435,3468.8,3489,3435,2004,11589,20170616,,
IF1709,20170405,3365.2,3404.8,3411.2,3365.2,833,4808,20170915,,
IF1704,20170406,3508,3504,3509,3487,13606,31699,20170421,,
IF1705,20170406,3493.2,3486.4,3493.2,3472,752,3088,20170519,,
IF1706,20170406,3464,3465.8,3478,3454.6,1615,11576,20170616,,
IF1709,20170406,3409.8,3400.6,3415,3383,729,4761,20170915,,
IF1704,20170407,3501.8,3510.6,3520.8,3494.2,13559,31488,20170421,,
IF1705,20170407,3479,3490.6,3502,3477.4,771,3403,20170519,,
IF1706,20170407,3463.4,3471,3481.8,3458,1075,11544,20170616,,
IF1709,20170407,3400.6,3404,3414.8,3390.2,598,4844,20170915,,
IF1704,20170410,3513,3501.6,3513.8,3500.8,10484,30311,20170421,,
IF1705,20170410,3490.6,3481.6,3494.8,3481.6,750,3566,20170519,,
IF1706,20170410,3464.6,3460.2,3472,3460.2,1088,11590,20170616,,
IF1709,20170410,3403.4,3395.4,3407.8,3391.2,389,4866,20170915,,
IF1704,20170411,3550,3505,3550,3460.2,16548,31071,20170421,,
IF1705,20170411,3485.2,3484.6,3499.6,3438.8,1916,4544,20170519,,
IF1706,20170411,3458,3459.4,3476.8,3415,2068,11893,20170616,,
IF1709,20170411,3400,3390.2,3407.8,3343.8,808,5022,20170915,,
IF1704,20170412,3502,3496,3512.4,3486.2,14280,29036,20170421,,
IF1705,20170412,3485.2,3473.6,3490.4,3469,1738,4991,20170519,,
IF1706,20170412,3462.2,3449.2,3465.2,3442.8,1418,11796,20170616,,
IF1709,20170412,3392,3383.2,3397,3376.6,611,5035,20170915,,
IF1704,20170413,3495.6,3508.6,3519,3491.4,12549,28054,20170421,,
IF1705,20170413,3473.6,3487,3497.4,3470,1703,5676,20170519,,
IF1706,20170413,3449.2,3464.8,3476.8,3445,1176,11823,20170616,,
IF1709,20170413,3377.2,3395,3403.2,3374.6,480,5087,20170915,,
IF1704,20170414,3507.6,3477,3511.8,3472.8,14666,27310,20170421,,
IF1705,20170414,3485.4,3454.8,3490.6,3450.2,2656,6842,20170519,,
IF1706,20170414,3463.8,3428.4,3466.4,3425,1331,11922,20170616,,
IF1709,20170414,3394,3359.2,3398,3354,570,5179,20170915,,
IF1704,20170417,3471,3472.4,3479.6,3455.2,15781,23751,20170421,,
IF1705,20170417,3450.6,3450.8,3458.2,3436,4603,9323,20170519,,
IF1706,20170417,3423,3425.2,3433.4,3411,1683,12310,20170616,,
IF1709,20170417,3345,3355.8,3365.6,3344.2,663,5392,20170915,,
IF1704,20170418,3470.2,3462.6,3485.8,3461.4,13572,19123,20170421,,
IF1705,20170418,3451.6,3441.2,3465.8,3441.2,5693,12233,20170519,,
IF1706,20170418,3429,3415.8,3438.4,3415,1530,12570,20170616,,
IF1709,20170418,3357.2,3350.2,3368.2,3350,531,5375,20170915,,
IF1704,20170419,3459.2,3440,3461.4,3426,15082,13597,20170421,,
IF1705,20170419,3441,3420.6,3442,3406.4,9294,17255,20170519,,
IF1706,20170419,3410,3392,3414.6,3383.2,2200,13030,20170616,,
IF1709,20170419,3342,3338.4,3347.2,3326,919,5443,20170915,,
IF1704,20170420,3440,3458.6,3463.8,3439.4,10235,6149,20170421,,
IF1705,20170420,3425,3441.6,3449,3422,12756,23419,20170519,,
IF1706,20170420,3396.4,3422.2,3429.8,3395,1908,12977,20170616,,
IF1709,20170420,3340,3365.6,3370.4,3340,1044,5463,20170915,,
IF1704,20170421,3461.6,3457.6,3473.6,3452.4,5109,0,20170421,,
IF1705,20170421,3445,3441.2,3456,3432.4,14686,26774,20170519,,
IF1706,20170421,3428.8,3419.4,3434.2,3411.2,1577,13099,20170616,,
IF1709,20170421,3365.6,3358.6,3376.8,3354.4,537,5453,20170915,,
IF1712,20170424,3347.2,3304.2,3347.2,3300,301,294,20171215,,
IF1705,20170424,3439,3408.2,3441.8,3398.2,16700,27859,20170519,,
IF1706,20170424,3419.4,3388.4,3420.8,3375.2,2148,13442,20170616,,
IF1709,20170424,3360.8,3330.2,3360.8,3320.2,752,5648,20170915,,
IF1712,20170425,3314.8,3316.4,3327.8,3311.6,209,304,20171215,,
IF1705,20170425,3413,3422.6,3434,3412.4,13559,26365,20170519,,
IF1706,20170425,3390,3407,3416,3390,2104,13408,20170616,,
IF1709,20170425,3336,3346.6,3357.8,3335.8,758,5556,20170915,,
IF1712,20170426,3327,3328.2,3342.2,3324,170,369,20171215,,
IF1705,20170426,3427.2,3427.8,3448.8,3425.4,14130,26765,20170519,,
IF1706,20170426,3409,3413.2,3433,3409,1744,13483,20170616,,
IF1709,20170426,3351,3353,3368.8,3351,662,5690,20170915,,
