StockID,Date,Time,price,vol,amount,OI
IF1704,20170405,9:29:00,3485,73,76321500,32760
IF1705,20170405,9:29:00,3433,0,0,2685
IF1706,20170405,9:29:00,3435,2,2061000,11384
IF1709,20170405,9:29:00,3365.2,1,1009560,4677
IF1704,20170406,9:29:00,3508,64,67353600,32309
IF1705,20170406,9:29:00,3492,0,0,2970
IF1706,20170406,9:29:00,3464,3,3117600,11586
IF1709,20170406,9:29:00,3409.8,1,1022940,4808
IF1704,20170407,9:29:00,3501.8,60,63032400,31656
IF1705,20170407,9:29:00,3486.4,0,0,3088
IF1706,20170407,9:29:00,3463.4,1,1039020,11575
IF1709,20170407,9:29:00,3400.6,1,1020180,4761
IF1704,20170410,9:29:00,3513,52,54802800,31461
IF1705,20170410,9:29:00,3490.6,2,2094360,3401
IF1706,20170410,9:29:00,3464.6,1,1039380,11543
IF1709,20170410,9:29:00,3404,0,0,4844
IF1704,20170411,9:29:00,3550,81,86265000,30322
IF1705,20170411,9:29:00,3481.6,0,0,3566
IF1706,20170411,9:29:00,3460.2,0,0,11590
IF1709,20170411,9:29:00,3395.4,0,0,4866
IF1704,20170412,9:29:00,3502,101,106110600,30990
IF1705,20170412,9:29:00,3484.6,0,0,4544
IF1706,20170412,9:29:00,3462.2,1,1038660,11893
IF1709,20170412,9:29:00,3390.2,0,0,5022
IF1704,20170413,9:29:00,3495.6,33,34606440,29004
IF1705,20170413,9:29:00,3473.6,1,1042080,4991
IF1706,20170413,9:29:00,3449.2,2,2069520,11796
IF1709,20170413,9:29:00,3383.2,0,0,5035
IF1704,20170414,9:29:00,3507.6,19,19993320,28037
IF1705,20170414,9:29:00,3487,0,0,5676
IF1706,20170414,9:29:00,3463.8,1,1039140,11822
IF1709,20170414,9:29:00,3394,1,1018200,5086
IF1704,20170417,9:29:00,3471,68,70808400,27256
IF1705,20170417,9:29:00,3450.6,9,9316620,6843
IF1706,20170417,9:29:00,3423,4,4107600,11923
IF1709,20170417,9:29:00,3345,2,2007000,5180
IF1704,20170418,9:29:00,3470.2,35,36437100,23723
IF1705,20170418,9:29:00,3451.6,1,1035480,9322
IF1706,20170418,9:29:00,3429,1,1028700,12309
IF1709,20170418,9:29:00,3355.8,0,0,5392
IF1704,20170419,9:29:00,3459.2,39,40472640,19101
IF1705,20170419,9:29:00,3441,7,7226100,12234
IF1706,20170419,9:29:00,3415.8,0,0,12570
IF1709,20170419,9:29:00,3350.2,0,0,5375
IF1704,20170420,9:29:00,3440,52,53664000,13546
IF1705,20170420,9:29:00,3425,16,16440000,17256
IF1706,20170420,9:29:00,3396.4,5,5094600,13025
IF1709,20170420,9:29:00,3338.4,0,0,5443
IF1704,20170421,9:29:00,3461.6,32,33231360,6117
IF1705,20170421,9:29:00,3445,54,55809000,23375
IF1706,20170421,9:29:00,3422.2,0,0,12977
IF1709,20170421,9:29:00,3365.6,1,1009680,5463
IF1712,20170424,9:29:00,3359.2,0,0,0
IF1705,20170424,9:29:00,3439,50,51585000,26745
IF1706,20170424,9:29:00,3419.4,2,2051640,13098
IF1709,20170424,9:29:00,3360.8,1,1008240,5452
IF1712,20170425,9:29:00,3304.2,0,0,294
IF1705,20170425,9:29:00,3413,48,49147200,27821
IF1706,20170425,9:29:00,3390,3,3051000,13439
IF1709,20170425,9:29:00,3330.2,0,0,5648
IF1712,20170426,9:29:00,3316.4,0,0,304
IF1705,20170426,9:29:00,3427.2,35,35985600,26339
IF1706,20170426,9:29:00,3409,1,1022700,13409
IF1709,20170426,9:29:00,3346.6,0,0,5556
IF1712,20170427,9:29:00,3328.2,0,0,369
IF1705,20170427,9:29:00,3421.6,36,36953280,26741
IF1706,20170427,9:29:00,3413.2,0,0,13483
IF1709,20170427,9:29:00,3353,0,0,5690
IF1712,20170428,9:29:00,3332.6,0,0,522
IF1705,20170428,9:29:00,3426,98,100724400,27218
IF1706,20170428,9:29:00,3411.6,2,2046960,13814
IF1709,20170428,9:29:00,3352.6,2,2011560,5760
IF1712,20170502,9:29:00,3330.2,0,0,573
IF1705,20170502,9:29:00,3413.8,64,65544960,26578
IF1706,20170502,9:29:00,3406.6,0,0,13809
IF1709,20170502,9:29:00,3352.8,1,1005840,5650
IF1712,20170503,9:29:00,3310.4,0,0,638
IF1705,20170503,9:29:00,3410,26,26598000,26490
IF1706,20170503,9:29:00,3390.4,0,0,13734
IF1709,20170503,9:29:00,3332.4,0,0,5685
IF1712,20170504,9:29:00,3291,1,987300,737
IF1705,20170504,9:29:00,3391.2,24,24416640,26949
IF1706,20170504,9:29:00,3377.8,0,0,13884
IF1709,20170504,9:29:00,3319,0,0,5879
IF1712,20170505,9:29:00,3279,0,0,813
IF1705,20170505,9:29:00,3379.8,54,54752760,26611
IF1706,20170505,9:29:00,3355.8,1,1006740,14134
IF1709,20170505,9:29:00,3298.4,0,0,5831
IF1712,20170508,9:29:00,3251.2,0,0,978
IF1705,20170508,9:29:00,3361,57,57473100,26765
IF1706,20170508,9:29:00,3338.8,2,2003280,14453
IF1709,20170508,9:29:00,3270.4,1,981120,5849
IF1712,20170509,9:29:00,3227.4,0,0,1006
IF1705,20170509,9:29:00,3335,49,49024500,26093
IF1706,20170509,9:29:00,3313,1,993900,14664
IF1709,20170509,9:29:00,3242.6,1,972780,5907
IF1712,20170510,9:29:00,3262,2,1957200,1024
IF1705,20170510,9:29:00,3346.8,28,28113120,25489
IF1706,20170510,9:29:00,3322,0,0,14968
IF1709,20170510,9:29:00,3257,0,0,5818
IF1712,20170511,9:29:00,3220.2,0,0,1131
IF1705,20170511,9:29:00,3320,47,46812000,24850
IF1706,20170511,9:29:00,3285,2,1971000,15223
IF1709,20170511,9:29:00,3236.2,1,970860,5899
IF1712,20170512,9:29:00,3241.4,0,0,1168
IF1705,20170512,9:29:00,3341.6,35,35086800,24602
IF1706,20170512,9:29:00,3320,4,3984000,16234
IF1709,20170512,9:29:00,3255.6,0,0,5903
IF1712,20170515,9:29:00,3254.8,0,0,1199
IF1705,20170515,9:29:00,3376.6,29,29376420,22175
IF1706,20170515,9:29:00,3359.4,3,3023460,16555
IF1709,20170515,9:29:00,3292.6,2,1975560,5930
IF1712,20170516,9:29:00,3271,1,981300,1197
