,Date,FutureID,ContractNum,Action,Price,Profit,Amount,Fee
20180802,20180802,SH510300,287.28450071390193,long,3.48,,99975.00624843787,24.993751562127727
20180803,20180803,SH510300,287.28450071390193,close_pos,3.42,-1748.2698290944536,98226.73641934342,24.562824811038617
20180806,20180806,SH510300,291.4011450233685,long,3.37,,98202.18587287518,24.550546468235552
20180809,20180809,SH510300,291.4011450233685,close_pos,3.38,266.77774826888344,98468.96362114407,24.623396754474637
20180810,20180810,SH510300,285.34594937104583,long,3.45,,98444.35253301081,24.611088133257
20180813,20180813,SH510300,285.34594937104583,close_pos,3.43,-595.1603139006475,97849.19221911016,24.46841515856718
20180821,20180821,SH510300,294.6528193828355,long,3.32,,97824.73603510139,24.456184008769924
20180823,20180823,SH510300,294.6528193828355,close_pos,3.38,1743.0187530591502,99567.75478816054,24.8981632378496
20180824,20180824,SH510300,294.50552979554084,long,3.38,,99542.8690708928,24.885717267738073
20180829,20180829,SH510300,294.50552979554084,close_pos,3.46,2330.5695100370067,101873.43858092981,25.47472832731428
20180903,20180903,SH510300,300.4365091055549,long,3.39,,101847.9765867831,25.461994146709912
20180904,20180904,SH510300,300.4365091055549,close_pos,3.38,-325.82339412496367,101522.15319265814,25.38688501941939
20180906,20180906,SH510300,302.9754596952497,long,3.35,,101496.77899790865,25.37419474948547
20180911,20180911,SH510300,302.9754596952497,close_pos,3.3,-1539.8727739011083,99956.90622400754,24.995475424858103
20180912,20180912,SH510300,304.67049769267294,long,3.28,,99931.92324319672,24.982980810818844
20180914,20180914,SH510300,304.67049769267294,close_pos,3.3,584.2056793256925,100516.12892252242,25.13531605964552
20180917,20180917,SH510300,306.37501881396236,long,3.28,,100491.00617097966,25.122751542759943
20180918,20180918,SH510300,306.37501881396236,close_pos,3.26,-637.7196016612725,99853.28656931838,24.96956403333793
20180920,20180920,SH510300,295.3500872394871,long,3.38,,99828.32948694663,24.957082371751312
20180921,20180921,SH510300,295.3500872394871,close_pos,3.39,270.3191673459514,100098.64865429258,25.030919893546532
20180927,20180927,SH510300,287.5679030078474,long,3.48,,100073.6302467309,25.018407561685308
20180928,20180928,SH510300,287.5679030078474,close_pos,3.48,-25.018407561685308,100048.61183916921,25.018407561682725
20181011,20181011,SH510300,307.7649413467224,long,3.25,,100023.60593768478,25.00590148443007
20181015,20181015,SH510300,307.7649413467224,close_pos,3.24,-332.6939015958051,99690.91203608898,24.92896024908452
20181017,20181017,SH510300,311.4562360537646,long,3.2,,99665.99553720467,24.916498884311295
20181018,20181018,SH510300,311.4562360537646,close_pos,3.16,-1270.4299868632952,98395.56555034137,24.605042648247405
20181023,20181023,SH510300,293.6446949466853,long,3.35,,98370.97280713958,24.592743201792473
20181024,20181024,SH510300,293.6446949466853,close_pos,3.24,-3253.8768647042016,95117.09594243538,23.78522029068151
20181025,20181025,SH510300,299.97893568385626,long,3.17,,95093.32261178244,23.773330652940786
20181026,20181026,SH510300,299.97893568385626,close_pos,3.27,2975.2660788464127,98068.58869062885,24.52327799215525
20181029,20181029,SH510300,304.48471326463056,long,3.22,,98044.07767121104,24.51101941781235
20181030,20181030,SH510300,304.48471326463056,close_pos,3.12,-3068.5969402809424,94975.4807309301,23.749807634641183
20181031,20181031,SH510300,298.590386148526,long,3.18,,94951.74279523127,23.737935698824003
20181105,20181105,SH510300,298.590386148526,close_pos,3.34,4752.513881133011,99704.25667636428,24.932297243401923
20181108,20181108,SH510300,302.05859649137494,long,3.3,,99679.33684215373,24.919834210551926
20181109,20181109,SH510300,302.05859649137494,close_pos,3.25,-1534.835243421796,98144.50159873193,24.542260964924214
20181112,20181112,SH510300,304.72040871375924,long,3.22,,98119.97160583048,24.529992901458172
20181114,20181114,SH510300,304.72040871375924,close_pos,3.29,2107.9796073796024,100227.95121321008,25.0632536167067
20181120,20181120,SH510300,300.9096110753395,long,3.33,,100202.90048808805,25.05072512202605
20181121,20181121,SH510300,300.9096110753395,close_pos,3.24,-2732.560178175132,97470.34030991292,24.373678497102503
20181122,20181122,SH510300,297.091398826857,long,3.28,,97445.9788152091,24.36149470381497
20181123,20181123,SH510300,297.091398826857,close_pos,3.26,-618.395746658105,96827.583068551,24.212949004388847
20181127,20181127,SH510300,302.51056944686013,long,3.2,,96803.38222299525,24.200845555751584
20181203,20181203,SH510300,302.51056944686013,close_pos,3.33,3907.453397902733,100710.83562089798,25.184004906451108
20181205,20181205,SH510300,306.0354535101725,long,3.29,,100685.66420484675,25.1714160512347
20181207,20181207,SH510300,306.0354535101725,close_pos,3.24,-1554.966139285185,99130.69806556156,24.788871734323973
20181210,20181210,SH510300,308.7411887388326,long,3.21,,99105.92158516526,24.776480396307306
20181211,20181211,SH510300,308.7411887388326,close_pos,3.21,-24.776480396278203,99081.14510476898,24.776480396291316
20181212,20181212,SH510300,305.7295710170265,long,3.24,,99056.38100951658,24.764095252394327
20181213,20181213,SH510300,305.7295710170265,close_pos,3.24,-24.764095252379775,99031.6169142642,24.764095252379146
20181214,20181214,SH510300,302.77328806717037,long,3.27,,99006.86519796471,24.751716299491818
20181217,20181217,SH510300,302.77328806717037,close_pos,3.22,-1538.2396900252497,97468.62550793946,24.373249689407213
20181225,20181225,SH510300,317.4080274978143,long,3.07,,97444.264441829,24.361066110461252
20181226,20181226,SH510300,317.4080274978143,close_pos,3.07,-24.361066110475804,97419.90337571852,24.36106611045725
20190104,20190104,SH510300,324.65184829032245,long,3.0,,97395.55448709673,24.348888621796505
20190109,20190109,SH510300,324.65184829032245,close_pos,3.12,3870.499335317232,101266.05382241396,25.32284416664515
20190110,20190110,SH510300,323.4528550687055,long,3.13,,101240.74363650482,25.310185909140273
20190115,20190115,SH510300,323.4528550687055,close_pos,3.13,-25.31018590912572,101215.4334505957,25.310185909126204
20190116,20190116,SH510300,323.2911690626726,long,3.13,,101190.13591661653,25.297533979159198
20190117,20190117,SH510300,323.2911690626726,close_pos,3.13,-25.297533979159198,101164.83838263738,25.297533979154135
20190122,20190122,SH510300,318.0489103593201,long,3.18,,101139.55349426379,25.284888373586
20190123,20190123,SH510300,318.0489103593201,close_pos,3.14,-1297.1624809004861,99842.3910133633,24.966839463206625
20190124,20190124,SH510300,317.88992565031765,long,3.14,,99817.43665419974,24.954359163559275
20190125,20190125,SH510300,317.88992565031765,close_pos,3.16,610.6665471742599,100428.103201374,25.113304126375095
20190128,20190128,SH510300,313.7593826586291,long,3.2,,100403.0024507613,25.10075061270618
20190130,20190130,SH510300,313.7593826586291,close_pos,3.18,-652.4626362386043,99750.5398145227,24.943870921361015
20190131,20190131,SH510300,313.60254217742005,long,3.18,,99725.60841241958,24.931402103116852
20190211,20190211,SH510300,313.60254217742005,close_pos,3.24,1856.2134471481695,101581.82185956775,25.401805916371025
20190212,20190212,SH510300,307.7467659132724,long,3.3,,101556.43275137989,25.389108187853708
20190213,20190213,SH510300,307.7467659132724,close_pos,3.33,897.620379477521,102454.05313085741,25.619918262279928
20190219,20190219,SH510300,297.75711052137376,long,3.44,,102428.44601935257,25.60711150483985
20190220,20190220,SH510300,297.75711052137376,close_pos,3.44,-25.60711150483985,102402.83890784773,25.607111504838144
20190228,20190228,SH510300,278.9570697457726,long,3.67,,102377.24459669855,25.594311149179703
20190304,20190304,SH510300,278.9570697457726,close_pos,3.77,2763.278993634187,105140.52359033274,26.291703823539073
20190306,20190306,SH510300,275.89040690046056,long,3.81,,105114.24502907548,26.27856125726248
20190307,20190307,SH510300,275.89040690046056,close_pos,3.83,525.3643073401909,105639.60933641567,26.4165064607191
20190311,20190311,SH510300,288.56067222652166,long,3.66,,105613.20603490692,26.403301508747973
20190312,20190312,SH510300,288.56067222652166,close_pos,3.74,2281.504954959004,107894.71098986593,26.980422853179775
20190313,20190313,SH510300,288.41642795147715,long,3.74,,107867.74405385245,26.96693601347215
