,FutureID,ContractNum,Position,Value,Win
20180802,SH510300,287.28450071390193,long,98251.29924415446,False
20180803,,287.28450071390193,,98226.73641934342,False
20180806,SH510300,291.4011450233685,long,97036.5812927817,False
20180807,SH510300,291.4011450233685,long,99950.5927430154,True
20180808,SH510300,291.4011450233685,long,98493.58701789855,False
20180809,,291.4011450233685,,98468.96362114407,False
20180810,SH510300,285.34594937104583,long,98729.69848238185,True
20180813,,285.34594937104583,,97849.19221911016,True
20180814,,285.34594937104583,,97849.19221911016,True
20180815,,285.34594937104583,,97849.19221911016,True
20180816,,285.34594937104583,,97849.19221911016,True
20180817,,285.34594937104583,,97849.19221911016,True
20180820,,285.34594937104583,,97849.19221911016,True
20180821,SH510300,294.6528193828355,long,99592.65295139841,True
20180822,SH510300,294.6528193828355,long,99298.00013201557,False
20180823,,294.6528193828355,,99567.75478816054,False
20180824,SH510300,294.50552979554084,long,99837.37460068834,True
20180827,SH510300,294.50552979554084,long,102193.41883905268,True
20180828,SH510300,294.50552979554084,long,101898.91330925713,False
20180829,,294.50552979554084,,101873.43858092981,False
20180830,,294.50552979554084,,101873.43858092981,False
20180831,,294.50552979554084,,101873.43858092981,False
20180903,SH510300,300.4365091055549,long,101547.54007767754,False
20180904,,300.4365091055549,,101522.15319265814,False
20180905,,300.4365091055549,,101522.15319265814,False
20180906,SH510300,302.9754596952497,long,100587.8526188229,False
20180907,SH510300,302.9754596952497,long,101496.77899790865,True
20180910,SH510300,302.9754596952497,long,99981.90169943239,False
20180911,,302.9754596952497,,99956.90622400754,False
20180912,SH510300,304.67049769267294,long,99322.58224781138,False
20180913,SH510300,304.67049769267294,long,100541.26423858207,False
20180914,,304.67049769267294,,100516.12892252242,False
20180917,SH510300,306.37501881396236,long,100184.6311521657,False
20180918,,306.37501881396236,,99853.28656931838,False
20180919,,306.37501881396236,,99853.28656931838,False
20180920,SH510300,295.3500872394871,long,99828.32948694663,False
20180921,,295.3500872394871,,100098.64865429258,False
20180925,,295.3500872394871,,100098.64865429258,False
20180926,,295.3500872394871,,100098.64865429258,False
20180927,SH510300,287.5679030078474,long,99786.06234372305,False
20180928,,287.5679030078474,,100048.61183916921,False
20181008,,287.5679030078474,,100048.61183916921,False
20181009,,287.5679030078474,,100048.61183916921,False
20181010,,287.5679030078474,,100048.61183916921,False
20181011,SH510300,307.7649413467224,long,97561.486406911,False
20181012,SH510300,307.7649413467224,long,99408.07605499134,True
20181015,,307.7649413467224,,99690.91203608898,True
20181016,,307.7649413467224,,99690.91203608898,True
20181017,SH510300,311.4562360537646,long,99043.08306509713,False
20181018,,311.4562360537646,,98395.56555034137,False
20181019,,311.4562360537646,,98395.56555034137,False
20181022,,311.4562360537646,,98395.56555034137,False
20181023,SH510300,293.6446949466853,long,95140.88116272604,False
20181024,,293.6446949466853,,95117.09594243538,False
20181025,SH510300,299.97893568385626,long,97793.13303293714,True
20181026,,299.97893568385626,,98068.58869062885,True
20181029,SH510300,304.48471326463056,long,95303.71525182936,False
20181030,,304.48471326463056,,94975.4807309301,False
20181031,SH510300,298.590386148526,long,95548.92356752833,True
20181101,SH510300,298.590386148526,long,96444.6947259739,False
20181102,SH510300,298.590386148526,long,100326.36974590473,True
20181105,,298.590386148526,,99704.25667636428,True
20181106,,298.590386148526,,99704.25667636428,True
20181107,,298.590386148526,,99704.25667636428,True
20181108,SH510300,302.05859649137494,long,98773.16105267961,False
20181109,,302.05859649137494,,98144.50159873193,False
20181112,SH510300,304.72040871375924,long,99338.85324068551,True
20181113,SH510300,304.72040871375924,long,100557.73487554054,True
20181114,,304.72040871375924,,100227.95121321008,True
20181115,,304.72040871375924,,100227.95121321008,True
20181116,,304.72040871375924,,100227.95121321008,True
20181119,,304.72040871375924,,100227.95121321008,True
20181120,SH510300,300.9096110753395,long,98698.35243271134,False
20181121,,300.9096110753395,,97470.34030991292,False
20181122,SH510300,297.091398826857,long,97148.88741638226,False
20181123,,297.091398826857,,96827.583068551,False
20181126,,297.091398826857,,96827.583068551,False
20181127,SH510300,302.51056944686013,long,96500.87165354838,False
20181128,SH510300,302.51056944686013,long,97710.91393133582,True
20181129,SH510300,302.51056944686013,long,96803.38222299525,False
20181130,SH510300,302.51056944686013,long,98013.4245007827,True
20181203,,302.51056944686013,,100710.83562089798,True
20181204,,302.51056944686013,,100710.83562089798,True
20181205,SH510300,306.0354535101725,long,101297.73511186709,True
20181206,SH510300,306.0354535101725,long,99155.4869372959,False
20181207,,306.0354535101725,,99130.69806556156,False
20181210,SH510300,308.7411887388326,long,98797.18039642643,False
20181211,,308.7411887388326,,99081.14510476898,False
20181212,SH510300,305.7295710170265,long,98750.65143849955,False
20181213,,305.7295710170265,,99031.6169142642,False
20181214,SH510300,302.77328806717037,long,97795.77204569602,False
20181217,,302.77328806717037,,97468.62550793946,False
20181218,,302.77328806717037,,97468.62550793946,False
20181219,,302.77328806717037,,97468.62550793946,False
20181220,,302.77328806717037,,97468.62550793946,False
20181221,,302.77328806717037,,97468.62550793946,False
20181224,,302.77328806717037,,97468.62550793946,False
20181225,SH510300,317.4080274978143,long,97761.67246932682,True
20181226,,317.4080274978143,,97419.90337571852,True
20181227,,317.4080274978143,,97419.90337571852,True
20181228,,317.4080274978143,,97419.90337571852,True
20190102,,317.4080274978143,,97419.90337571852,True
20190103,,317.4080274978143,,97419.90337571852,True
20190104,SH510300,324.65184829032245,long,100317.42112170963,True
20190107,SH510300,324.65184829032245,long,100966.72481829027,False
20190108,SH510300,324.65184829032245,long,100966.72481829027,False
20190109,,324.65184829032245,,101266.05382241396,False
20190110,SH510300,323.4528550687055,long,101240.74363650482,False
20190111,SH510300,323.4528550687055,long,102211.10220171095,True
20190114,SH510300,323.4528550687055,long,101240.74363650482,False
20190115,,323.4528550687055,,101215.4334505957,False
20190116,SH510300,323.2911690626726,long,101190.13591661653,False
20190117,,323.2911690626726,,101164.83838263738,False
20190118,,323.2911690626726,,101164.83838263738,False
20190121,,323.2911690626726,,101164.83838263738,False
20190122,SH510300,318.0489103593201,long,99867.3578528265,False
20190123,,318.0489103593201,,99842.3910133633,False
20190124,SH510300,317.88992565031765,long,100453.21650550039,True
20190125,,317.88992565031765,,100428.103201374,True
20190128,SH510300,313.7593826586291,long,99775.48368544404,False
20190129,SH510300,313.7593826586291,long,100089.24306810266,True
20190130,,313.7593826586291,,99750.5398145227,True
20190131,SH510300,313.60254217742005,long,100352.81349677441,True
20190201,SH510300,313.60254217742005,long,102234.42874983893,True
20190211,,313.60254217742005,,101581.82185956775,True
20190212,SH510300,307.7467659132724,long,102171.92628320644,True
20190213,,307.7467659132724,,102454.05313085741,True
20190214,,307.7467659132724,,102454.05313085741,True
20190215,,307.7467659132724,,102454.05313085741,True
20190218,,307.7467659132724,,102454.05313085741,True
20190219,SH510300,297.75711052137376,long,102130.6889088312,False
20190220,,297.75711052137376,,102402.83890784773,False
20190221,,297.75711052137376,,102402.83890784773,False
20190222,,297.75711052137376,,102402.83890784773,False
20190225,,297.75711052137376,,102402.83890784773,False
20190226,,297.75711052137376,,102402.83890784773,False
20190227,,297.75711052137376,,102402.83890784773,False
20190228,SH510300,278.9570697457726,long,102098.28752695279,False
20190301,SH510300,278.9570697457726,long,104329.94408491897,True
20190304,,278.9570697457726,,105140.52359033274,True
20190305,,278.9570697457726,,105140.52359033274,True
20190306,SH510300,275.89040690046056,long,105941.91624977686,True
20190307,,275.89040690046056,,105639.60933641567,True
20190308,,275.89040690046056,,105639.60933641567,True
20190311,SH510300,288.56067222652166,long,107056.00939603953,True
20190312,,288.56067222652166,,107894.71098986593,True
20190313,SH510300,288.41642795147715,long,107002.49476999801,False
20190314,,288.41642795147715,,106687.39982246106,False
20190315,,288.41642795147715,,106687.39982246106,False
20190318,,288.41642795147715,,106687.39982246106,False
20190319,,288.41642795147715,,106687.39982246106,False
20190320,,288.41642795147715,,106687.39982246106,False
20190321,,288.41642795147715,,106687.39982246106,False
20190322,SH510300,279.2165828240873,long,106939.95122162545,True
20190325,,279.2165828240873,,105238.33556174976,True
20190326,SH510300,280.56542014296355,long,103809.20545289651,False
20190327,,280.56542014296355,,104063.74843032121,False
20190328,SH510300,280.4251724948041,long,104318.16416806713,True
20190329,SH510300,280.4251724948041,long,108524.54175548919,True
20190401,SH510300,280.4251724948041,long,111328.79348043723,True
20190402,SH510300,280.4251724948041,long,111048.36830794242,False
20190403,,280.4251724948041,,110459.89608346207,False
20190404,,280.4251724948041,,110459.89608346207,False
20190408,,280.4251724948041,,110459.89608346207,False
20190409,,280.4251724948041,,110459.89608346207,False
20190410,SH510300,273.3472475531168,long,111252.32975411855,True
20190411,,273.3472475531168,,111224.51667168002,True
20190412,,273.3472475531168,,111224.51667168002,True
20190415,,273.3472475531168,,111224.51667168002,True
20190416,,273.3472475531168,,111224.51667168002,True
20190417,,273.3472475531168,,111224.51667168002,True
20190418,,273.3472475531168,,111224.51667168002,True
20190419,,273.3472475531168,,111224.51667168002,True
20190422,,273.3472475531168,,111224.51667168002,True
20190423,,273.3472475531168,,111224.51667168002,True
20190424,,273.3472475531168,,111224.51667168002,True
20190425,,273.3472475531168,,111224.51667168002,True
20190426,SH510300,283.66509564364014,long,110062.05710973238,False
20190429,,283.66509564364014,,110318.13577482468,False
20190430,SH510300,283.523298545093,long,110574.08643258626,True
20190506,,283.523298545093,,107145.01389833262,True
20190507,,283.523298545093,,107145.01389833262,True
20190508,,283.523298545093,,107145.01389833262,True
20190509,SH510300,294.2808635707354,long,106235.39174903547,False
20190510,,294.2808635707354,,107091.45478116276,False
20190513,,294.2808635707354,,107091.45478116276,False
20190514,,294.2808635707354,,107091.45478116276,False
20190515,,294.2808635707354,,107091.45478116276,False
20190516,SH510300,288.58406633156466,long,107641.85674167362,True
20190517,,288.58406633156466,,107614.94627748818,True
20190520,,288.58406633156466,,107614.94627748818,True
20190521,,288.58406633156466,,107614.94627748818,True
20190522,SH510300,294.7617788086901,long,107293.28748636322,False
20190523,,294.7617788086901,,106677.08798776363,False
20190524,,294.7617788086901,,106677.08798776363,False
20190527,,294.7617788086901,,106677.08798776363,False
20190528,SH510300,293.8028247421991,long,107238.03103090267,True
20190529,SH510300,293.8028247421991,long,107238.03103090267,True
20190530,SH510300,293.8028247421991,long,107238.03103090267,False
20190531,,293.8028247421991,,106917.49214910893,False
20190603,SH510300,293.65596004600206,long,106890.76945674475,False
20190604,,293.65596004600206,,106864.04676438058,False
20190605,,293.65596004600206,,106864.04676438058,False
20190606,SH510300,296.7703817500641,long,105947.02628477286,False
20190610,,296.7703817500641,,106217.23571735632,False
20190611,SH510300,293.34444211421265,long,109417.47690860133,True
20190612,SH510300,293.34444211421265,long,108537.44358225868,False
20190613,,293.34444211421265,,108510.30922136313,False
20190614,,293.34444211421265,,108510.30922136313,False
20190617,SH510300,296.4021541646367,long,108779.59057842167,True
20190618,SH510300,296.4021541646367,long,109075.99273258631,False
20190619,,296.4021541646367,,111715.67621703802,False
20190620,,296.4021541646367,,111715.67621703802,False
20190621,,296.4021541646367,,111715.67621703802,False
20190624,,296.4021541646367,,111715.67621703802,False
20190625,,296.4021541646367,,111715.67621703802,False
20190626,,296.4021541646367,,111715.67621703802,False
20190627,SH510300,292.3763201007026,long,112857.25955887121,True
20190628,SH510300,292.3763201007026,long,112857.25955887121,False
20190701,,292.3763201007026,,114582.86460010556,False
20190702,,292.3763201007026,,114582.86460010556,False
20190703,SH510300,290.0106988445434,long,113974.20464590557,False
20190704,,290.0106988445434,,113655.77289857426,False
20190705,,290.0106988445434,,113655.77289857426,False
20190708,,290.0106988445434,,113655.77289857426,False
