,Win
20180803,False
20180809,True
20180813,False
20180823,True
20180829,True
20180904,False
20180911,False
20180914,True
20180918,False
20180921,True
20180928,False
20181015,False
20181018,False
20181024,False
20181026,True
20181030,False
20181105,True
20181109,False
20181114,True
20181121,False
20181123,False
20181203,True
20181207,False
20181211,False
20181213,False
20181217,False
20181226,False
20190109,True
20190115,False
20190117,False
20190123,False
20190125,True
20190130,False
20190211,True
20190213,True
20190220,False
20190304,True
20190307,True
20190312,True
20190314,False
20190325,False
20190327,False
20190403,True
20190411,True
20190429,False
20190506,False
20190510,False
20190517,True
20190523,False
20190531,True
20190604,False
20190610,False
20190613,True
20190619,True
20190701,True
20190704,False
20190716,True
20190719,False
20190726,True
20190730,False
20190801,False
20190812,True
20190814,True
20190823,True
20190827,True
20190829,False
20190909,True
20190920,True
20190927,False
20191010,True
20191014,True
20191016,False
20191028,True
20191031,False
20191111,True
20191127,False
20191203,False
20191209,True
20191217,True
20191225,True
20200102,True
20200106,False
20200109,True
20200210,True
20200219,True
20200221,True
20200302,False
20200305,True
20200320,False
20200325,True
20200331,True
20200403,True
20200414,True
20200429,True
20200506,False
20200508,True
20200513,False
20200521,False
20200525,False
20200603,True
20200605,False
20200611,False
20200615,True
20200618,True
20200629,True
20200702,True
20200708,False
20200710,True
20200714,True
20200724,False
20200729,False
20200731,False
20200804,True
20200806,True
20200811,True
20200813,False
