,SettleDateFlag,SettleWeekFlag,curr_signal,next_signal
20180801,,,1.0,1.0
20180802,,,-1.0,-1.0
20180803,,,1.0,1.0
20180806,,,1.0,1.0
20180807,,,1.0,1.0
20180808,,,-1.0,-1.0
20180809,,,1.0,1.0
20180810,,,-1.0,-1.0
20180814,,1,-1.0,-1.0
20180815,,1,-1.0,-1.0
20180820,,,1.0,1.0
20180821,,,1.0,1.0
20180822,,,-1.0,-1.0
20180823,,,1.0,1.0
20180824,,,1.0,1.0
20180827,,,1.0,1.0
20180829,,,-1.0,-1.0
20180831,,,1.0,1.0
20180903,,,-1.0,-1.0
20180904,,,-1.0,-1.0
20180905,,,1.0,1.0
20180906,,,1.0,1.0
20180907,,,1.0,1.0
20180910,,,-1.0,-1.0
20180911,,,1.0,1.0
20180912,,,1.0,1.0
20180913,,,-1.0,-1.0
20180914,,,1.0,1.0
20180919,,1,1.0,1.0
20180925,,,-1.0,-1.0
20180926,,,1.0,1.0
20180927,,,-1.0,-1.0
20181008,,,-1.0,-1.0
20181010,,,1.0,1.0
20181011,,,1.0,1.0
20181012,,,-1.0,-1.0
20181015,,1,-1.0,-1.0
20181016,,1,1.0,1.0
20181022,,,1.0,1.0
20181023,,,-1.0,-1.0
20181024,,,1.0,1.0
20181025,,,-1.0,-1.0
20181026,,,1.0,1.0
20181029,,,-1.0,-1.0
20181030,,,1.0,1.0
20181031,,,1.0,1.0
20181101,,,1.0,1.0
20181102,,,-1.0,-1.0
20181105,,,-1.0,-1.0
20181106,,,-1.0,-1.0
20181107,,,1.0,1.0
20181109,,,1.0,1.0
20181112,,1,1.0,1.0
20181119,,,1.0,1.0
20181120,,,-1.0,-1.0
20181121,,,1.0,1.0
20181122,,,-1.0,-1.0
20181123,,,-1.0,-1.0
20181126,,,1.0,1.0
20181127,,,1.0,1.0
20181128,,,1.0,1.0
20181129,,,1.0,1.0
20181130,,,-1.0,-1.0
20181203,,,-1.0,-1.0
20181204,,,1.0,1.0
20181205,,,1.0,1.0
20181206,,,-1.0,-1.0
20181207,,,1.0,1.0
20181211,,,1.0,1.0
20181212,,,-1.0,-1.0
20181213,,,1.0,1.0
20181214,,,-1.0,-1.0
20181224,,,1.0,1.0
20181225,,,-1.0,-1.0
20181226,,,-1.0,-1.0
20181227,,,-1.0,-1.0
20190102,,,-1.0,-1.0
20190103,,,1.0,1.0
20190104,,,1.0,1.0
20190107,,,1.0,1.0
20190108,,,-1.0,-1.0
20190109,,,1.0,1.0
20190110,,,1.0,1.0
20190111,,,1.0,1.0
20190114,,1,-1.0,-1.0
20190115,,1,1.0,1.0
20190121,,,1.0,1.0
20190122,,,-1.0,-1.0
20190123,,,1.0,1.0
20190124,,,-1.0,-1.0
20190125,,,1.0,1.0
20190128,,,1.0,1.0
20190129,,,-1.0,-1.0
20190130,,,1.0,1.0
20190131,,,1.0,1.0
20190211,,1,1.0,1.0
20190218,,,1.0,1.0
20190220,,,-1.0,-1.0
20190221,,,-1.0,-1.0
20190222,,,-1.0,-1.0
20190225,,,-1.0,-1.0
20190226,,,-1.0,-1.0
20190227,,,1.0,1.0
20190228,,,1.0,1.0
20190301,,,-1.0,-1.0
20190304,,,-1.0,-1.0
20190305,,,1.0,1.0
20190306,,,-1.0,-1.0
20190307,,,-1.0,-1.0
20190308,,,1.0,1.0
20190312,,1,1.0,1.0
20190313,,1,-1.0,-1.0
20190318,,,-1.0,-1.0
20190319,,,-1.0,-1.0
20190320,,,-1.0,-1.0
20190321,,,1.0,1.0
20190322,,,-1.0,-1.0
20190325,,,1.0,1.0
20190326,,,-1.0,-1.0
20190327,,,1.0,1.0
20190328,,,1.0,1.0
20190329,,,1.0,1.0
20190401,,,1.0,1.0
20190402,,,-1.0,-1.0
20190403,,,-1.0,-1.0
20190408,,,-1.0,-1.0
20190409,,,1.0,1.0
20190410,,,-1.0,-1.0
20190411,,,-1.0,-1.0
20190412,,,-1.0,-1.0
20190422,,,-1.0,-1.0
20190424,,,-1.0,-1.0
20190425,,,1.0,1.0
20190429,,,1.0,1.0
20190506,,,-1.0,-1.0
20190507,,,-1.0,-1.0
20190508,,,1.0,1.0
20190509,,,-1.0,-1.0
20190513,,1,-1.0,-1.0
20190515,,1,1.0,1.0
20190520,,,-1.0,-1.0
20190521,,,1.0,1.0
20190522,,,-1.0,-1.0
20190523,,,-1.0,-1.0
20190527,,,1.0,1.0
20190528,,,1.0,1.0
20190529,,,1.0,1.0
20190530,,,-1.0,-1.0
20190531,,,1.0,1.0
20190604,,,-1.0,-1.0
20190605,,,1.0,1.0
20190610,,,1.0,1.0
20190611,,,1.0,1.0
20190612,,,-1.0,-1.0
20190613,,,-1.0,-1.0
20190614,,,1.0,1.0
20190617,,1,1.0,1.0
20190618,,1,-1.0,-1.0
20190619,,1,-1.0,-1.0
20190624,,,-1.0,-1.0
20190625,,,-1.0,-1.0
20190626,,,1.0,1.0
20190627,,,1.0,1.0
20190628,,,-1.0,-1.0
20190701,,,-1.0,-1.0
20190702,,,1.0,1.0
20190703,,,-1.0,-1.0
20190704,,,-1.0,-1.0
20190705,,,-1.0,-1.0
20190708,,,-1.0,-1.0
20190709,,,-1.0,-1.0
20190710,,,-1.0,-1.0
20190711,,,1.0,1.0
20190712,,,1.0,1.0
20190715,,1,-1.0,-1.0
20190717,,1,1.0,1.0
20190722,,,-1.0,-1.0
20190723,,,-1.0,-1.0
20190724,,,1.0,1.0
20190725,,,-1.0,-1.0
20190726,,,1.0,1.0
20190729,,,-1.0,-1.0
20190730,,,1.0,1.0
20190731,,,-1.0,-1.0
20190801,,,-1.0,-1.0
20190802,,,-1.0,-1.0
20190805,,,-1.0,-1.0
20190806,,,-1.0,-1.0
20190807,,,1.0,1.0
20190808,,,1.0,1.0
20190809,,,-1.0,-1.0
20190812,,1,1.0,1.0
20190813,,1,-1.0,-1.0
20190819,,,-1.0,-1.0
20190820,,,1.0,1.0
20190821,,,1.0,1.0
20190822,,,-1.0,-1.0
20190823,,,1.0,1.0
20190826,,,-1.0,-1.0
20190827,,,1.0,1.0
20190828,,,-1.0,-1.0
20190829,,,-1.0,-1.0
20190830,,,1.0,1.0
20190902,,,1.0,1.0
20190903,,,1.0,1.0
20190904,,,1.0,1.0
20190905,,,1.0,1.0
20190906,,,-1.0,-1.0
20190909,,,-1.0,-1.0
20190910,,,-1.0,-1.0
20190911,,,-1.0,-1.0
20190916,,1,-1.0,-1.0
20190918,,1,1.0,1.0
20190919,,1,-1.0,-1.0
20190923,,,-1.0,-1.0
20190924,,,-1.0,-1.0
20190925,,,1.0,1.0
20190926,,,-1.0,-1.0
20190927,,,-1.0,-1.0
20191008,,,1.0,1.0
20191009,,,-1.0,-1.0
20191010,,,1.0,1.0
20191011,,,-1.0,-1.0
20191014,,1,1.0,1.0
20191021,,,-1.0,-1.0
20191022,,,-1.0,-1.0
20191024,,,1.0,1.0
20191025,,,-1.0,-1.0
20191028,,,-1.0,-1.0
20191029,,,1.0,1.0
20191030,,,-1.0,-1.0
20191031,,,1.0,1.0
20191101,,,1.0,1.0
20191104,,,1.0,1.0
20191105,,,1.0,1.0
20191106,,,1.0,1.0
20191107,,,1.0,1.0
20191111,,1,-1.0,-1.0
20191118,,,1.0,1.0
20191119,,,1.0,1.0
20191120,,,1.0,1.0
20191121,,,1.0,1.0
20191122,,,1.0,1.0
20191125,,,1.0,1.0
20191126,,,-1.0,-1.0
20191127,,,-1.0,-1.0
20191129,,,1.0,1.0
20191202,,,-1.0,-1.0
20191203,,,-1.0,-1.0
20191204,,,-1.0,-1.0
20191205,,,1.0,1.0
20191206,,,-1.0,-1.0
20191209,,,-1.0,-1.0
20191211,,,-1.0,-1.0
20191212,,,1.0,1.0
20191213,,,1.0,1.0
20191223,,,1.0,1.0
20191224,,,-1.0,-1.0
20191225,,,1.0,1.0
20191226,,,1.0,1.0
20191227,,,1.0,1.0
20191230,,,1.0,1.0
20191231,,,-1.0,-1.0
20200102,,,1.0,1.0
20200103,,,-1.0,-1.0
20200106,,,1.0,1.0
20200107,,,1.0,1.0
20200109,,,-1.0,-1.0
20200110,,,-1.0,-1.0
20200113,,1,-1.0,-1.0
20200115,,1,-1.0,-1.0
20200120,,,-1.0,-1.0
20200121,,,-1.0,-1.0
20200122,,,-1.0,-1.0
20200203,,,1.0,1.0
20200204,,,1.0,1.0
20200205,,,1.0,1.0
20200206,,,1.0,1.0
20200207,,,-1.0,-1.0
20200210,,,1.0,1.0
20200211,,,1.0,1.0
20200212,,,1.0,1.0
20200213,,,1.0,1.0
20200214,,,1.0,1.0
20200217,,1,1.0,1.0
20200218,,1,-1.0,-1.0
20200219,,1,1.0,1.0
20200224,,,-1.0,-1.0
20200225,,,-1.0,-1.0
20200226,,,-1.0,-1.0
20200227,,,1.0,1.0
20200228,,,-1.0,-1.0
20200302,,,1.0,1.0
20200303,,,1.0,1.0
20200304,,,-1.0,-1.0
20200305,,,-1.0,-1.0
20200306,,,-1.0,-1.0
20200309,,,-1.0,-1.0
20200310,,,-1.0,-1.0
20200311,,,-1.0,-1.0
20200312,,,-1.0,-1.0
20200313,,,-1.0,-1.0
20200317,,1,-1.0,-1.0
20200318,,1,1.0,1.0
20200323,,,1.0,1.0
20200325,,,1.0,1.0
20200326,,,1.0,1.0
20200327,,,1.0,1.0
20200331,,,1.0,1.0
20200401,,,1.0,1.0
20200402,,,-1.0,-1.0
20200408,,,-1.0,-1.0
20200409,,,-1.0,-1.0
20200410,,,1.0,1.0
20200420,,,-1.0,-1.0
20200421,,,-1.0,-1.0
20200422,,,-1.0,-1.0
20200423,,,-1.0,-1.0
20200424,,,-1.0,-1.0
20200427,,,1.0,1.0
20200428,,,-1.0,-1.0
20200429,,,1.0,1.0
20200506,,,1.0,1.0
20200507,,,-1.0,-1.0
20200508,,,1.0,1.0
20200511,,1,1.0,1.0
20200512,,1,-1.0,-1.0
20200513,,1,-1.0,-1.0
20200518,,,1.0,1.0
20200519,,,1.0,1.0
20200520,,,-1.0,-1.0
20200521,,,1.0,1.0
20200522,,,-1.0,-1.0
20200526,,,-1.0,-1.0
20200527,,,-1.0,-1.0
20200528,,,1.0,1.0
20200529,,,1.0,1.0
20200601,,,1.0,1.0
20200603,,,1.0,1.0
20200604,,,-1.0,-1.0
20200605,,,-1.0,-1.0
20200608,,,-1.0,-1.0
20200609,,,1.0,1.0
20200610,,,-1.0,-1.0
20200611,,,1.0,1.0
20200612,,,-1.0,-1.0
20200615,,1,1.0,1.0
20200616,,1,1.0,1.0
20200617,,1,-1.0,-1.0
20200622,,,1.0,1.0
20200623,,,1.0,1.0
20200629,,,-1.0,-1.0
20200630,,,1.0,1.0
20200701,,,-1.0,-1.0
20200702,,,-1.0,-1.0
20200703,,,-1.0,-1.0
20200706,,,1.0,1.0
20200707,,,-1.0,-1.0
20200708,,,1.0,1.0
20200709,,,-1.0,-1.0
20200710,,,1.0,1.0
20200714,,1,-1.0,-1.0
20200716,,1,-1.0,-1.0
20200720,,,-1.0,-1.0
20200721,,,1.0,1.0
20200722,,,1.0,1.0
20200723,,,-1.0,-1.0
20200724,,,-1.0,-1.0
20200727,,,1.0,1.0
20200728,,,-1.0,-1.0
20200729,,,1.0,1.0
20200730,,,-1.0,-1.0
20200731,,,1.0,1.0
20200803,,,-1.0,-1.0
20200804,,,1.0,1.0
20200805,,,-1.0,-1.0
20200806,,,-1.0,-1.0
20200807,,,1.0,1.0
20200810,,,-1.0,-1.0
20200811,,,1.0,1.0
20200812,,,-1.0,-1.0
20200813,,,-1.0,-1.0
