,FutureID,Action,Price,Fee,Profit,Amount,Date,ContractNum
20180802,IF1808,long,3415.0,23.5635,,1024476.4365,20180802.0,1.0
20180803,IF1808,close_pos,3350.0,23.115,-19546.6785,1004953.3215,20180803.0,1.0
20180803,IF1808,short,3350.0,23.115,,1004930.2065,20180803.0,1.0
20180806,IF1808,close_pos,3292.2,22.716179999999998,17294.168820000054,1022247.49032,20180806.0,1.0
20180806,IF1808,long,3292.2,22.71618,,1022224.77414,20180806.0,1.0
20180809,IF1808,close_pos,3295.8,22.741020000000002,1034.5428000001093,1023282.0331200002,20180809.0,1.0
20180809,IF1808,short,3295.8,22.741020000000002,,1023259.2921000002,20180809.0,1.0
20180810,IF1808,close_pos,3389.8,23.38962,-28246.130640000003,995035.9024800002,20180810.0,1.0
20180810,IF1808,long,3389.8,23.38962,,995012.5128600001,20180810.0,1.0
20180813,IF1808,close_pos,3365.0,23.2185,-7486.608120000054,987549.2943600002,20180813.0,1.0
20180813,IF1809,short,3350.0,23.115,,987526.1793600002,20180813.0,1.0
20180821,IF1809,close_pos,3257.0,22.4733,27854.411699999997,1015403.7060600002,20180821.0,1.0
20180821,IF1809,long,3257.0,22.473300000000002,,1015381.2327600003,20180821.0,1.0
20180823,IF1809,close_pos,3305.0,22.8045,14354.7222,1029758.4282600003,20180823.0,1.0
20180823,IF1809,short,3305.0,22.8045,,1029735.6237600003,20180823.0,1.0
20180824,IF1809,close_pos,3292.0,22.7148,3854.4806999999996,1033612.9089600004,20180824.0,1.0
20180824,IF1809,long,3292.0,22.7148,,1033590.1941600004,20180824.0,1.0
20180830,IF1809,close_pos,3381.2,23.33028,26713.954919999946,1060326.8638800003,20180830.0,1.0
20180830,IF1809,short,3381.2,23.33028,,1060303.5336000002,20180830.0,1.0
20180903,IF1809,close_pos,3310.2,22.84038,21253.82934,1081580.6932200002,20180903.0,1.0
20180903,IF1809,long,3310.2,22.84038,,1081557.8528400003,20180903.0,1.0
20180904,IF1809,close_pos,3314.0,22.8666,1094.2930200000544,1082674.9862400002,20180904.0,1.0
20180904,IF1809,short,3314.0,22.8666,,1082652.1196400002,20180904.0,1.0
20180906,IF1809,close_pos,3275.2,22.598879999999998,11594.534520000056,1094269.5207600002,20180906.0,1.0
20180906,IF1809,long,3275.2,22.598879999999998,,1094246.9218800003,20180906.0,1.0
20180911,IF1809,close_pos,3228.6,22.27734,-14024.876219999973,1080244.6445400002,20180911.0,1.0
20180911,IF1809,short,3228.6,22.27734,,1080222.3672000002,20180911.0,1.0
20180912,IF1809,close_pos,3212.8,22.16832,4695.554339999919,1084940.1988800003,20180912.0,1.0
20180912,IF1809,long,3212.8,22.16832,,1084918.0305600003,20180912.0,1.0
20180914,IF1809,close_pos,3244.4,22.38636,9435.445319999972,1094375.6442000004,20180914.0,1.0
20180914,IF1809,short,3244.4,22.38636,,1094353.2578400006,20180914.0,1.0
20180917,IF1809,close_pos,3218.8,22.20972,7635.4039199999725,1102011.0481200006,20180917.0,1.0
20180917,IF1810,long,3215.2,22.184879999999996,,1101988.8632400006,20180917.0,1.0
20180926,IF1810,close_pos,3405.6,23.498639999999998,57074.31648000003,1159085.3646000007,20180926.0,1.0
20180926,IF1810,short,3405.6,23.49864,,1159061.8659600008,20180926.0,1.0
20180927,IF1810,close_pos,3417.4,23.58006,-3587.078700000054,1155498.2859000007,20180927.0,1.0
20180927,IF1810,long,3417.4,23.580060000000003,,1155474.7058400006,20180927.0,1.0
20180928,IF1810,close_pos,3428.0,23.6532,3132.7667399999727,1158631.0526400006,20180928.0,1.0
20180928,IF1810,short,3428.0,23.6532,,1158607.3994400005,20180928.0,1.0
20181011,IF1810,close_pos,3187.2,21.99168,72194.35512000005,1230825.4077600006,20181011.0,1.0
20181011,IF1810,long,3187.2,21.99168,,1230803.4160800006,20181011.0,1.0
20181015,IF1810,close_pos,3169.0,21.8661,-5503.857779999946,1225321.5499800006,20181015.0,1.0
20181015,IF1811,short,3177.2,21.922679999999996,,1225299.6273000005,20181015.0,1.0
20181017,IF1811,close_pos,3148.0,21.7212,8716.356119999946,1234037.9061000005,20181017.0,1.0
20181017,IF1811,long,3148.0,21.7212,,1234016.1849000005,20181017.0,1.0
20181024,IF1811,close_pos,3180.2,21.943379999999998,9616.335419999945,1243654.2415200004,20181024.0,1.0
20181024,IF1811,short,3180.2,21.943379999999998,,1243632.2981400003,20181024.0,1.0
20181025,IF1811,close_pos,3115.4,21.49626,19396.56035999992,1263050.8018800004,20181025.0,1.0
20181025,IF1811,long,3115.4,21.49626,,1263029.3056200005,20181025.0,1.0
20181026,IF1811,close_pos,3211.0,22.1559,28636.34783999997,1291687.1497200006,20181026.0,1.0
20181026,IF1811,short,3211.0,22.1559,,1291664.9938200007,20181026.0,1.0
20181029,IF1811,close_pos,3169.2,21.867479999999997,12495.976620000054,1304183.1263400007,20181029.0,1.0
20181029,IF1811,long,3169.2,21.86748,,1304161.2588600006,20181029.0,1.0
20181030,IF1811,close_pos,3078.2,21.23958,-27343.107060000002,1276840.0192800006,20181030.0,1.0
20181030,IF1811,short,3078.2,21.239579999999997,,1276818.7797000005,20181030.0,1.0
20181031,IF1811,close_pos,3124.8,21.561120000000003,-14022.800700000109,1262817.2185800006,20181031.0,1.0
20181031,IF1811,long,3124.8,21.56112,,1262795.6574600006,20181031.0,1.0
20181105,IF1811,close_pos,3276.8,22.609920000000002,45555.82896,1308373.0475400006,20181105.0,1.0
20181105,IF1811,short,3276.8,22.60992,,1308350.4376200007,20181105.0,1.0
20181108,IF1811,close_pos,3250.0,22.425,7994.9650800000545,1316368.0126200006,20181108.0,1.0
20181108,IF1811,long,3250.0,22.425,,1316345.5876200006,20181108.0,1.0
20181112,IF1811,close_pos,3169.8,21.87162,-24104.296619999946,1292263.7160000005,20181112.0,1.0
20181112,IF1812,long,3167.2,21.85368,,1292241.8623200005,20181112.0,1.0
20181121,IF1812,close_pos,3191.4,22.02066,7216.125660000082,1299479.8416600006,20181121.0,1.0
20181121,IF1812,short,3191.4,22.02066,,1299457.8210000007,20181121.0,1.0
