,FutureID,ContractNum,Position,Value,Win
20180802,IF1808,1,long,1024406.4365,False
20180803,IF1808,1,short,1004996.6065,True
20180806,IF1808,1,long,1022192.37414,False
20180807,IF1808,1,long,1022291.37414,True
20180808,IF1808,1,long,1022237.37414,False
20180809,IF1808,1,short,1023169.0921000002,False
20180810,IF1808,1,long,995019.7128600001,True
20180813,IF1809,1,short,987517.9793600002,False
20180814,IF1809,1,short,987531.1793600002,True
20180815,IF1809,1,short,987620.7793600002,True
20180816,IF1809,1,short,987627.1793600002,False
20180817,IF1809,1,short,987673.9793600002,True
20180820,IF1809,1,short,987625.1793600002,False
20180821,IF1809,1,long,1015425.2327600003,True
20180822,IF1809,1,long,1015424.4327600002,False
20180823,IF1809,1,short,1029738.4237600004,True
20180824,IF1809,1,long,1033607.9941600005,True
20180827,IF1809,1,long,1033695.9941600005,True
20180828,IF1809,1,long,1033685.1941600004,False
20180829,IF1809,1,long,1033677.9941600005,False
20180830,IF1809,1,short,1060341.7336000002,True
20180831,IF1809,1,short,1060363.5336000002,True
20180903,IF1809,1,long,1081558.0528400003,True
20180904,IF1809,1,short,1082608.9196400002,False
20180905,IF1809,1,short,1082688.3196400001,True
20180906,IF1809,1,long,1094220.3218800002,False
20180907,IF1809,1,long,1094244.9218800003,True
20180910,IF1809,1,long,1094198.7218800003,False
20180911,IF1809,1,short,1080231.9672000003,True
20180912,IF1809,1,long,1084901.6305600004,False
20180913,IF1809,1,long,1084943.6305600004,False
20180914,IF1809,1,short,1094357.0578400006,True
20180917,IF1810,1,long,1101969.0632400005,False
20180918,IF1810,1,long,1102033.6632400006,True
20180919,IF1810,1,long,1102075.4632400007,True
20180920,IF1810,1,long,1102085.6632400006,False
20180921,IF1810,1,long,1102201.8632400006,True
20180925,IF1810,1,long,1102162.8632400006,False
20180926,IF1810,1,short,1159045.2659600007,False
20180927,IF1810,1,long,1155473.1058400006,False
20180928,IF1810,1,short,1158586.5994400005,False
20181008,IF1810,1,short,1158746.5994400005,True
20181009,IF1810,1,short,1158748.3994400005,True
20181010,IF1810,1,short,1158746.3994400005,True
20181011,IF1810,1,long,1230723.0160800007,False
20181012,IF1810,1,long,1230785.2160800006,True
20181015,IF1811,1,short,1225359.6273000005,True
20181016,IF1811,1,short,1225370.4273000006,True
20181017,IF1811,1,long,1233993.5849000004,False
20181018,IF1811,1,long,1233923.9849000005,False
20181019,IF1811,1,long,1233996.7849000006,True
20181022,IF1811,1,long,1234156.5849000004,True
20181023,IF1811,1,long,1234048.3849000004,False
20181024,IF1811,1,short,1243626.2981400003,False
20181025,IF1811,1,long,1263117.5056200004,True
20181026,IF1811,1,short,1291710.1938200006,True
20181029,IF1811,1,long,1304069.0588600007,False
