,Win
20180803,False
20180806,True
20180809,True
20180810,False
20180813,False
20180821,True
20180823,True
20180824,True
20180830,True
20180903,True
20180904,True
20180906,True
20180911,False
20180912,True
20180914,True
20180917,True
20180926,True
20180927,False
20180928,True
20181011,True
20181015,False
20181017,True
20181024,True
20181025,True
20181026,True
20181029,True
20181030,False
20181031,False
20181105,True
20181108,True
20181112,False
20181121,True
20181122,False
20181123,False
20181127,True
20181203,True
20181205,True
20181207,False
20181210,True
20181213,True
20181214,False
20181217,False
20181225,True
20181226,True
20190104,True
20190109,True
20190110,True
20190114,False
20190115,False
20190116,False
20190123,True
20190124,False
20190125,True
20190128,False
20190130,False
20190131,False
20190212,True
20190221,True
20190228,False
20190304,True
20190306,False
20190307,True
20190311,True
20190314,True
20190322,False
20190325,False
20190326,True
20190327,False
20190328,True
20190403,True
20190410,False
20190411,True
20190415,True
20190426,True
20190507,False
20190509,True
20190510,True
20190514,True
20190516,False
20190521,False
20190522,False
20190523,False
20190528,False
20190531,True
20190603,False
20190605,False
20190606,True
20190613,True
20190617,True
20190619,True
20190627,False
20190701,True
20190703,False
20190704,False
20190712,True
20190715,True
20190716,True
20190718,True
20190723,True
20190725,False
20190726,True
20190729,False
20190730,True
20190731,True
20190801,False
20190808,True
20190812,True
20190813,False
20190814,True
20190821,False
20190823,True
20190826,True
20190827,True
20190828,False
20190829,False
20190902,True
20190909,True
20190917,True
20190919,True
20190920,True
20190926,True
20190927,False
20191009,True
20191010,True
20191011,False
20191014,True
20191015,True
20191022,False
20191025,True
20191028,True
20191030,True
20191031,False
20191101,True
20191112,True
20191119,True
20191127,False
20191202,True
20191203,False
20191206,False
20191209,True
20191213,False
20191216,True
20191225,True
20191226,False
20200102,True
20200103,False
20200106,False
20200107,False
20200110,True
20200113,True
20200204,True
20200210,True
20200211,False
20200217,True
20200219,True
20200220,False
20200225,True
20200228,True
20200302,False
20200303,False
20200305,True
20200316,True
20200319,True
20200403,True
20200413,False
20200421,True
20200428,False
20200429,True
20200430,False
20200508,True
20200511,False
20200513,False
20200519,False
20200521,False
20200522,True
20200525,False
20200529,False
20200605,True
20200610,False
20200611,False
20200612,True
20200615,True
20200616,False
20200618,True
20200623,False
20200630,True
20200701,False
20200702,True
20200707,False
20200708,False
20200709,False
20200710,True
20200713,True
20200715,True
20200722,True
20200724,False
20200728,True
20200729,False
20200730,False
20200731,False
20200803,False
20200804,True
20200805,True
20200806,True
20200810,True
20200811,True
20200812,True
20200813,False
20200821,False
