,curr_mon_con,next_mon_con,curr_mon_PV,next_mon_PV,curr_signal,next_signal,SettleWeekFlag
20180801,IF1808,IF1809,0.06352690360110859,0.039542736664065416,1.0,1.0,
20180802,IF1808,IF1809,-0.1036153541691752,-0.008032580575188962,-1.0,,
20180803,IF1808,IF1809,0.055038288176861704,0.14008098985561274,1.0,1.0,
20180806,IF1808,IF1809,0.1026733412001897,0.1402944901639756,1.0,1.0,
20180807,IF1808,IF1809,0.02674836986190496,0.06798274493770033,1.0,1.0,
20180808,IF1808,IF1809,-0.036427449335291816,-0.009464286544540998,-1.0,,
20180809,IF1808,IF1809,0.28484910564839583,0.3844991108109477,1.0,1.0,
20180810,IF1808,IF1809,-0.01594192418290262,0.049799259108761915,-1.0,1.0,
20180813,IF1808,IF1809,-0.11783897307031609,0.0637293976257374,-1.0,1.0,1
20180814,IF1808,IF1809,-0.1482785957288574,-0.04655483399294992,-1.0,-1.0,1
20180815,IF1808,IF1809,-0.15496562227614386,-0.12101367436554576,-1.0,-1.0,1
20180816,IF1808,IF1809,-0.2882680089727488,0.2958188189415402,-1.0,1.0,1
20180817,IF1808,IF1809,0.03194343226662897,-0.051638893421630805,1.0,-1.0,1
20180820,IF1809,IF1810,0.09875452084030721,-0.01247730734912949,1.0,-1.0,
20180821,IF1809,IF1810,0.16536436810513908,0.16915350179678132,1.0,1.0,
20180822,IF1809,IF1810,-0.043992703116506375,0.014109420950068256,-1.0,1.0,
20180823,IF1809,IF1810,0.03011801286111476,0.110528967361848,1.0,1.0,
20180824,IF1809,IF1810,0.02649360730435234,0.025894134024872742,1.0,1.0,
20180827,IF1809,IF1810,0.08660048723340401,0.34079352665868606,1.0,1.0,
20180828,IF1809,IF1810,0.006378713848773168,0.05287828689285244,,1.0,
20180829,IF1809,IF1810,-0.0908870743266283,0.10120226099498293,-1.0,1.0,
20180830,IF1809,IF1810,0.0054400153839642505,0.0869181141544331,,1.0,
20180831,IF1809,IF1810,0.025825525517834607,0.27991389119247256,1.0,1.0,
20180903,IF1809,IF1810,-0.1219685937088157,0.1204036638698637,-1.0,1.0,
20180904,IF1809,IF1810,-0.0640349089001955,0.14254727455188362,-1.0,1.0,
20180905,IF1809,IF1810,0.0921304425136758,0.10626030948019792,1.0,1.0,
20180906,IF1809,IF1810,0.1977275968792115,0.09567717920620669,1.0,1.0,
20180907,IF1809,IF1810,0.1619232592828912,0.18446911620751122,1.0,1.0,
20180910,IF1809,IF1810,-0.144908457916042,0.08012787932994014,-1.0,1.0,
20180911,IF1809,IF1810,0.0648202067831498,0.025555619709692272,1.0,1.0,
20180912,IF1809,IF1810,0.09626099034868314,0.16720815359847785,1.0,1.0,
20180913,IF1809,IF1810,-0.23884109035590245,-0.04927939875031389,-1.0,-1.0,
20180914,IF1809,IF1810,0.02360384955344211,0.08947293405815104,1.0,1.0,
20180917,IF1809,IF1810,0.004535381037056289,-0.11594491804825566,,-1.0,1
20180918,IF1809,IF1810,-0.1341110136132463,0.33527030017944376,-1.0,1.0,1
20180919,IF1809,IF1810,0.07741490304416059,0.19922942493402865,1.0,1.0,1
20180920,IF1809,IF1810,-0.10470006822862106,0.16673386497992512,-1.0,1.0,1
20180921,IF1809,IF1810,0.01595532012980744,0.02840276473256877,1.0,1.0,1
20180925,IF1810,IF1811,-0.15894631763144515,-0.1912757608452347,-1.0,-1.0,
20180926,IF1810,IF1811,0.1305954230528996,0.23793494473644128,1.0,1.0,
20180927,IF1810,IF1811,-0.11240756594793647,-0.08742917320512096,-1.0,-1.0,
20180928,IF1810,IF1811,0.1176213235237953,0.09931215474182757,1.0,1.0,
20181008,IF1810,IF1811,-0.08129743729804903,-0.18004038573501988,-1.0,-1.0,
20181009,IF1810,IF1811,0.008215023356695229,0.1425254219917792,,1.0,
20181010,IF1810,IF1811,0.032467959506647104,0.14658239096557144,1.0,1.0,
20181011,IF1810,IF1811,0.15639422755048385,0.13713791370928385,1.0,1.0,
20181012,IF1810,IF1811,-0.08341933284974473,0.11665554330200929,-1.0,1.0,
20181015,IF1810,IF1811,-0.03390387113548869,-0.09100753907540131,-1.0,-1.0,1
20181016,IF1810,IF1811,0.10838302971739001,0.19217592551999346,1.0,1.0,1
20181017,IF1810,IF1811,-0.30583154407350327,0.1512066528676282,-1.0,1.0,1
20181018,IF1810,IF1811,-0.16278344531834216,0.10014815623306306,-1.0,1.0,1
20181019,IF1810,IF1811,-0.055716407455850436,0.23405272716315184,-1.0,1.0,1
20181022,IF1811,IF1812,0.15291173566746358,0.10036201180535566,1.0,1.0,
20181023,IF1811,IF1812,-0.03858476485857919,0.21518986121401523,-1.0,1.0,
20181024,IF1811,IF1812,0.13719005026823775,0.23733378078444367,1.0,1.0,
20181025,IF1811,IF1812,-0.041481608415793986,0.10602805652759564,-1.0,1.0,
20181026,IF1811,IF1812,0.027404633565031825,0.01649594213857537,1.0,1.0,
20181029,IF1811,IF1812,-0.16399926088303135,-0.04262470324935495,-1.0,-1.0,
20181030,IF1811,IF1812,0.030804666834549577,0.13193092931392283,1.0,1.0,
20181031,IF1811,IF1812,0.07579827426907729,0.19069131618470028,1.0,1.0,
20181101,IF1811,IF1812,0.18642671672878522,0.18000139378433608,1.0,1.0,
20181102,IF1811,IF1812,-0.25816921210707244,-0.17686636049386556,-1.0,-1.0,
20181105,IF1811,IF1812,-0.057076373448127465,0.06383645250763266,-1.0,1.0,
20181106,IF1811,IF1812,-0.1761529178776013,-0.1161848461435603,-1.0,-1.0,
20181107,IF1811,IF1812,0.14030507482185364,0.16485649633067526,1.0,1.0,
20181108,IF1811,IF1812,0.00771362787691774,0.10904153053812521,,1.0,
20181109,IF1811,IF1812,0.02769521008042158,0.08820415721001916,1.0,1.0,
20181112,IF1811,IF1812,0.10346034092999949,0.08108171457314935,1.0,1.0,1
20181113,IF1811,IF1812,-0.0063204646207068085,0.18940783825558571,,1.0,1
20181114,IF1811,IF1812,0.07270240622391787,-0.021791366097538248,1.0,-1.0,1
20181115,IF1811,IF1812,-0.13727450902872343,0.20117254190704173,-1.0,1.0,1
20181116,IF1811,IF1812,0.004351599089057214,-0.009293595373249005,,,1
20181119,IF1812,IF1901,0.0326183733841085,0.02259846174704019,1.0,1.0,
20181120,IF1812,IF1901,-0.1017891414087929,-0.07474085295232913,-1.0,-1.0,
20181121,IF1812,IF1901,0.22602443272688136,0.15727886840527744,1.0,1.0,
20181122,IF1812,IF1901,-0.13552507829570368,-0.07383359026071157,-1.0,-1.0,
20181123,IF1812,IF1901,-0.04951816176811235,-0.22292052406637386,-1.0,-1.0,
20181126,IF1812,IF1901,0.1097357845645519,0.03376880315865403,1.0,1.0,
20181127,IF1812,IF1901,0.07947717873177561,0.044692710413048654,1.0,1.0,
20181128,IF1812,IF1901,0.09518637889608972,0.12534133867328187,1.0,1.0,
20181129,IF1812,IF1901,0.047671262825818,0.10381180037130044,1.0,1.0,
20181130,IF1812,IF1901,-0.03344517440340341,0.14327704715450362,-1.0,1.0,
20181203,IF1812,IF1901,-0.04609920885000433,0.017478442073382516,-1.0,1.0,
20181204,IF1812,IF1901,0.04749221587700757,0.026648118440521333,1.0,1.0,
20181205,IF1812,IF1901,0.07534151891206471,0.05765080942888299,1.0,1.0,
20181206,IF1812,IF1901,-0.1750903355442392,-0.08262690017351555,-1.0,-1.0,
20181207,IF1812,IF1901,0.06518177165284253,0.11680689206650492,1.0,1.0,
20181210,IF1812,IF1901,0.0077488799724839555,0.04833561056433255,,1.0,
20181211,IF1812,IF1901,0.03500494620765939,0.07947417496865009,1.0,1.0,
20181212,IF1812,IF1901,-0.1582938168418022,0.14575751997307201,-1.0,1.0,
20181213,IF1812,IF1901,0.18510457270134495,0.2540195877596658,1.0,1.0,
20181214,IF1812,IF1901,-0.0531520382272556,-0.1688808989156197,-1.0,-1.0,
20181217,IF1812,IF1901,-0.12121140598522279,0.26596488771434446,-1.0,1.0,1
20181218,IF1812,IF1901,-0.026791797798814868,0.06401185769936847,-1.0,1.0,1
20181219,IF1812,IF1901,0.09918620617944518,-0.07386123445141426,1.0,-1.0,1
20181220,IF1812,IF1901,-0.148357240680637,0.04369769108156146,-1.0,1.0,1
20181221,IF1812,IF1901,0.13998898483634267,-0.1586515116792817,1.0,-1.0,1
20181224,IF1901,IF1902,0.14203003939920633,0.09543510181470409,1.0,1.0,
20181225,IF1901,IF1902,-0.12049618713096456,-0.23529758372353307,-1.0,-1.0,
20181226,IF1901,IF1902,-0.13988305989417615,0.12022421261997192,-1.0,1.0,
20181227,IF1901,IF1902,-0.05332006778687406,0.23554009465558573,-1.0,1.0,
20181228,IF1901,IF1902,0.1443633602570178,0.02835830096537512,1.0,1.0,
20190102,IF1901,IF1902,-0.19650643869909007,-0.22016419299097437,-1.0,-1.0,
20190103,IF1901,IF1902,0.18746613955583713,0.21173064131799912,1.0,1.0,
20190104,IF1901,IF1902,0.10752147528354543,0.2470319515493037,1.0,1.0,
20190107,IF1901,IF1902,0.05154343436096662,0.06802458641843745,1.0,1.0,
20190108,IF1901,IF1902,-0.08368643526686873,-0.022585472950939923,-1.0,-1.0,
