,FutureID,Action,Price,Fee,Profit,Amount,Date,ContractNum
20180802,IF1808,long,3415.0,23.5635,,1024476.4365,20180802.0,1.0
20180803,IF1808,close_pos,3350.0,23.115,-19546.6785,1004953.3215,20180803.0,1.0
20180803,IF1808,short,3350.0,23.115,,1004930.2065,20180803.0,1.0
20180806,IF1808,close_pos,3292.2,22.716179999999998,17294.168820000054,1022247.49032,20180806.0,1.0
20180806,IF1808,long,3292.2,22.71618,,1022224.77414,20180806.0,1.0
20180809,IF1808,close_pos,3295.8,22.741020000000002,1034.5428000001093,1023282.0331200002,20180809.0,1.0
20180809,IF1808,short,3295.8,22.741020000000002,,1023259.2921000002,20180809.0,1.0
20180810,IF1808,close_pos,3389.8,23.38962,-28246.130640000003,995035.9024800002,20180810.0,1.0
20180810,IF1808,long,3389.8,23.38962,,995012.5128600001,20180810.0,1.0
20180813,IF1808,close_pos,3365.0,23.2185,-7486.608120000054,987549.2943600002,20180813.0,1.0
20180813,IF1809,short,3350.0,23.115,,987526.1793600002,20180813.0,1.0
20180814,IF1809,close_pos,3358.2,23.17158,-2506.2865799999454,985043.0077800002,20180814.0,1.0
20180815,IF1809,short,3342.4,23.06256,,985019.9452200002,20180815.0,1.0
20180817,IF1809,close_pos,3287.2,22.68168,16514.25576000008,1001557.2635400003,20180817.0,1.0
20180821,IF1809,long,3257.0,22.473300000000002,,1001534.7902400004,20180821.0,1.0
20180823,IF1809,close_pos,3305.0,22.8045,14354.7222,1015911.9857400004,20180823.0,1.0
20180823,IF1809,short,3305.0,22.8045,,1015889.1812400004,20180823.0,1.0
20180824,IF1809,close_pos,3292.0,22.7148,3854.4806999999996,1019766.4664400005,20180824.0,1.0
20180824,IF1809,long,3292.0,22.7148,,1019743.7516400005,20180824.0,1.0
20180829,IF1809,close_pos,3382.0,23.3358,26953.949399999998,1046720.4158400005,20180829.0,1.0
20180830,IF1809,short,3381.2,23.33028,,1046697.0855600005,20180830.0,1.0
20180831,IF1809,close_pos,3325.0,22.9425,16813.727219999946,1063534.1430600006,20180831.0,1.0
20180903,IF1809,long,3310.2,22.84038,,1063511.3026800007,20180903.0,1.0
20180904,IF1809,close_pos,3314.0,22.8666,1094.2930200000544,1064628.4360800006,20180904.0,1.0
20180904,IF1809,short,3314.0,22.8666,,1064605.5694800005,20180904.0,1.0
20180906,IF1809,close_pos,3275.2,22.598879999999998,11594.534520000056,1076222.9706000006,20180906.0,1.0
20180906,IF1809,long,3275.2,22.598879999999998,,1076200.3717200006,20180906.0,1.0
20180911,IF1809,close_pos,3228.6,22.27734,-14024.876219999973,1062198.0943800006,20180911.0,1.0
20180911,IF1809,short,3228.6,22.27734,,1062175.8170400006,20180911.0,1.0
20180912,IF1809,close_pos,3212.8,22.16832,4695.554339999919,1066893.6487200006,20180912.0,1.0
20180912,IF1809,long,3212.8,22.16832,,1066871.4804000007,20180912.0,1.0
20180914,IF1809,close_pos,3244.4,22.38636,9435.445319999972,1076329.0940400008,20180914.0,1.0
20180914,IF1809,short,3244.4,22.38636,,1076306.707680001,20180914.0,1.0
20180917,IF1809,close_pos,3218.8,22.20972,7635.4039199999725,1083964.497960001,20180917.0,1.0
20180917,IF1810,long,3215.2,22.184879999999996,,1083942.313080001,20180917.0,1.0
20180918,IF1810,close_pos,3188.0,21.9972,-8204.182079999946,1075760.3158800008,20180918.0,1.0
20180920,IF1810,long,3316.0,22.8804,,1075737.435480001,20180920.0,1.0
20180921,IF1810,close_pos,3323.0,22.9287,2054.1909,1077814.5067800009,20180921.0,1.0
20180926,IF1810,short,3405.6,23.49864,,1077791.008140001,20180926.0,1.0
20180927,IF1810,close_pos,3417.4,23.58006,-3587.078700000054,1074227.428080001,20180927.0,1.0
20180927,IF1810,long,3417.4,23.580060000000003,,1074203.8480200008,20180927.0,1.0
20180928,IF1810,close_pos,3428.0,23.6532,3132.7667399999727,1077360.1948200008,20180928.0,1.0
20180928,IF1810,short,3428.0,23.6532,,1077336.5416200007,20180928.0,1.0
20181008,IF1810,close_pos,3367.0,23.2323,18253.1145,1095613.3093200007,20181008.0,1.0
20181009,IF1810,short,3293.8,22.72722,,1095590.5821000007,20181009.0,1.0
20181010,IF1810,close_pos,3298.4,22.758960000000002,-1425.4861799999728,1094187.8231400007,20181010.0,1.0
20181011,IF1810,long,3187.2,21.99168,,1094165.8314600007,20181011.0,1.0
20181015,IF1810,close_pos,3169.0,21.8661,-5503.857779999946,1088683.9653600007,20181015.0,1.0
20181015,IF1811,short,3177.2,21.922679999999996,,1088662.0426800007,20181015.0,1.0
20181017,IF1811,close_pos,3148.0,21.7212,8716.356119999946,1097400.3214800006,20181017.0,1.0
20181017,IF1811,long,3148.0,21.7212,,1097378.6002800006,20181017.0,1.0
20181018,IF1811,close_pos,3110.0,21.459,-11443.1802,1085957.1412800006,20181018.0,1.0
20181023,IF1811,long,3282.8,22.65132,,1085934.4899600006,20181023.0,1.0
20181024,IF1811,close_pos,3180.2,21.943379999999998,-30824.59470000011,1055132.5465800005,20181024.0,1.0
20181024,IF1811,short,3180.2,21.943379999999998,,1055110.6032000005,20181024.0,1.0
20181025,IF1811,close_pos,3115.4,21.49626,19396.56035999992,1074529.1069400006,20181025.0,1.0
20181025,IF1811,long,3115.4,21.49626,,1074507.6106800006,20181025.0,1.0
20181026,IF1811,close_pos,3211.0,22.1559,28636.34783999997,1103165.4547800007,20181026.0,1.0
20181026,IF1811,short,3211.0,22.1559,,1103143.2988800008,20181026.0,1.0
20181029,IF1811,close_pos,3169.2,21.867479999999997,12495.976620000054,1115661.4314000008,20181029.0,1.0
20181029,IF1811,long,3169.2,21.86748,,1115639.5639200008,20181029.0,1.0
20181030,IF1811,close_pos,3078.2,21.23958,-27343.107060000002,1088318.3243400007,20181030.0,1.0
20181030,IF1811,short,3078.2,21.239579999999997,,1088297.0847600007,20181030.0,1.0
20181031,IF1811,close_pos,3124.8,21.561120000000003,-14022.800700000109,1074295.5236400007,20181031.0,1.0
20181031,IF1811,long,3124.8,21.56112,,1074273.9625200008,20181031.0,1.0
