,FutureID,ContractNum,Position,Value,Win
20180802,IF1808,1,long,1024406.4365,False
20180803,IF1808,1,short,1004996.6065,True
20180806,IF1808,1,long,1022192.37414,False
20180807,IF1808,1,long,1022291.37414,True
20180808,IF1808,1,long,1022237.37414,False
20180809,IF1808,1,short,1023169.0921000002,False
20180810,IF1808,1,long,995019.7128600001,True
20180813,IF1809,1,short,987517.9793600002,False
20180814,,1,,987517.9793600002,False
20180815,IF1809,1,short,985106.9452200002,True
20180816,IF1809,1,short,985113.3452200003,False
20180817,,1,,985113.3452200003,False
20180820,,1,,985113.3452200003,False
20180821,IF1809,1,long,1001578.7902400004,True
20180822,IF1809,1,long,1001577.9902400003,False
20180823,IF1809,1,short,1015891.9812400005,True
20180824,IF1809,1,long,1019761.5516400005,True
20180827,IF1809,1,long,1019849.5516400005,True
20180828,IF1809,1,long,1019838.7516400005,False
20180829,,1,,1019838.7516400005,False
20180830,IF1809,1,short,1046735.2855600005,True
20180831,,1,,1046735.2855600005,True
20180903,IF1809,1,long,1063511.5026800006,True
20180904,IF1809,1,short,1064562.3694800006,False
20180905,IF1809,1,short,1064641.7694800005,True
20180906,IF1809,1,long,1076173.7717200005,False
20180907,IF1809,1,long,1076198.3717200006,True
20180910,IF1809,1,long,1076152.1717200007,False
20180911,IF1809,1,short,1062185.4170400007,True
20180912,IF1809,1,long,1066855.0804000008,False
20180913,IF1809,1,long,1066897.0804000008,False
20180914,IF1809,1,short,1076310.507680001,True
20180917,IF1810,1,long,1083922.5130800009,False
20180918,,1,,1083922.5130800009,False
20180919,,1,,1083922.5130800009,False
20180920,IF1810,1,long,1075733.435480001,False
20180921,,1,,1075733.435480001,False
20180925,,1,,1075733.435480001,False
20180926,IF1810,1,short,1077774.408140001,False
20180927,IF1810,1,long,1074202.2480200008,False
20180928,IF1810,1,short,1077315.7416200007,False
20181008,,1,,1077315.7416200007,False
20181009,IF1810,1,short,1095597.3821000007,True
20181010,,1,,1095597.3821000007,True
20181011,IF1810,1,long,1094085.4314600008,False
20181012,IF1810,1,long,1094147.6314600008,True
20181015,IF1811,1,short,1088722.0426800007,True
20181016,IF1811,1,short,1088732.8426800007,True
20181017,IF1811,1,long,1097356.0002800005,False
20181018,,1,,1097356.0002800005,False
20181019,,1,,1097356.0002800005,False
20181022,,1,,1097356.0002800005,False
20181023,IF1811,1,long,1085831.8899600005,False
20181024,IF1811,1,short,1055104.6032000005,False
20181025,IF1811,1,long,1074595.8106800006,True
20181026,IF1811,1,short,1103188.4988800008,True
20181029,IF1811,1,long,1115547.3639200008,False
20181030,IF1811,1,short,1088262.2847600006,False
20181031,IF1811,1,long,1074300.1625200007,True
20181101,IF1811,1,long,1074323.7625200008,False
20181102,IF1811,1,long,1074455.7625200008,True
