,curr_signal
20180801,1.0
20180803,1.0
20180806,1.0
20180807,1.0
20180809,1.0
20180820,1.0
20180821,1.0
20180823,1.0
20180824,1.0
20180827,1.0
20180831,1.0
20180905,1.0
20180906,1.0
20180907,1.0
20180911,1.0
20180912,1.0
20180914,1.0
20180919,1.0
20180926,1.0
20181010,1.0
20181011,1.0
20181016,1.0
20181022,1.0
20181024,1.0
20181026,1.0
20181030,1.0
20181031,1.0
20181101,1.0
20181107,1.0
20181109,1.0
20181112,1.0
20181119,1.0
20181121,1.0
20181126,1.0
20181127,1.0
20181128,1.0
20181129,1.0
20181204,1.0
20181205,1.0
20181207,1.0
20181211,1.0
20181213,1.0
20181224,1.0
20190103,1.0
20190104,1.0
20190107,1.0
20190109,1.0
20190110,1.0
20190111,1.0
20190115,1.0
20190121,1.0
20190123,1.0
20190125,1.0
20190128,1.0
20190130,1.0
20190131,1.0
20190211,1.0
20190218,1.0
20190227,1.0
20190228,1.0
20190305,1.0
20190308,1.0
20190312,1.0
20190321,1.0
20190325,1.0
20190327,1.0
20190328,1.0
20190329,1.0
20190401,1.0
20190409,1.0
20190425,1.0
20190429,1.0
20190508,1.0
20190515,1.0
20190521,1.0
20190527,1.0
20190528,1.0
20190529,1.0
20190531,1.0
20190605,1.0
20190610,1.0
20190611,1.0
20190614,1.0
20190617,1.0
20190626,1.0
20190627,1.0
20190702,1.0
20190711,1.0
20190712,1.0
20190717,1.0
20190724,1.0
20190726,1.0
20190730,1.0
20190807,1.0
20190808,1.0
20190812,1.0
20190820,1.0
20190821,1.0
20190823,1.0
20190827,1.0
20190830,1.0
20190902,1.0
20190903,1.0
20190904,1.0
20190905,1.0
20190918,1.0
20190925,1.0
20191008,1.0
20191010,1.0
20191014,1.0
20191024,1.0
20191029,1.0
20191031,1.0
20191101,1.0
20191104,1.0
20191105,1.0
20191106,1.0
20191107,1.0
20191118,1.0
20191119,1.0
20191120,1.0
20191121,1.0
20191122,1.0
20191125,1.0
20191129,1.0
20191205,1.0
20191212,1.0
20191213,1.0
20191223,1.0
20191225,1.0
20191226,1.0
20191227,1.0
20191230,1.0
20200102,1.0
20200106,1.0
20200107,1.0
20200203,1.0
20200204,1.0
20200205,1.0
20200206,1.0
20200210,1.0
20200211,1.0
20200212,1.0
20200213,1.0
20200214,1.0
20200217,1.0
20200219,1.0
20200227,1.0
20200302,1.0
20200303,1.0
20200318,1.0
20200323,1.0
20200325,1.0
20200326,1.0
20200327,1.0
20200331,1.0
20200401,1.0
20200410,1.0
20200427,1.0
20200429,1.0
20200506,1.0
20200508,1.0
20200511,1.0
20200518,1.0
20200519,1.0
20200521,1.0
20200528,1.0
20200529,1.0
20200601,1.0
20200603,1.0
20200609,1.0
20200611,1.0
20200615,1.0
20200616,1.0
20200622,1.0
20200623,1.0
20200630,1.0
20200706,1.0
20200708,1.0
20200710,1.0
20200721,1.0
20200722,1.0
20200727,1.0
20200729,1.0
20200731,1.0
20200804,1.0
20200807,1.0
20200811,1.0
