StockID,Date,Time,open,close,high,low,vol,OI,SettleDate
IC1512,20150416,0:00:00,7799.6,7625.2,7799.6,7525,484,226,20151218
IC1505,20150416,0:00:00,7681,7707.8,7790,7480.2,116888,6643,20150515
IC1506,20150416,0:00:00,7520,7652.4,7757,7464.4,5285,856,20150619
IC1509,20150416,0:00:00,7752.8,7643.2,7762.8,7516.2,743,215,20150918
IC1512,20150417,0:00:00,7625.2,7562,7706.2,7527.4,460,365,20151218
IC1505,20150417,0:00:00,7722,7758.2,7918.8,7631.2,114214,9144,20150515
IC1506,20150417,0:00:00,7651.4,7674.8,7804.6,7585.4,7740,1352,20150619
IC1509,20150417,0:00:00,7649,7608.8,7714,7569.6,571,298,20150918
IC1512,20150420,0:00:00,7559.8,7388.2,7638.4,7302.4,425,469,20151218
IC1505,20150420,0:00:00,7760,7622.2,7857,7582,98781,10706,20150515
IC1506,20150420,0:00:00,7719.4,7505,7771.2,7475.4,5564,1491,20150619
IC1509,20150420,0:00:00,7590,7419.4,7698.2,7419,454,343,20150918
IC1512,20150421,0:00:00,7462,7941.8,7947.6,7414.4,632,630,20151218
IC1505,20150421,0:00:00,7650.2,8140.4,8147,7640.2,132545,16732,20150515
IC1506,20150421,0:00:00,7550.2,8075,8093.2,7530.2,6806,1761,20150619
IC1509,20150421,0:00:00,7481.6,8024,8024,7471,610,401,20150918
IC1512,20150422,0:00:00,7959.2,7926.8,8019.8,7900.2,751,739,20151218
IC1505,20150422,0:00:00,8158,8189.8,8237.8,8104.4,121034,14854,20150515
IC1506,20150422,0:00:00,8135.2,8126.6,8175,8041.2,7002,1718,20150619
IC1509,20150422,0:00:00,8075.2,8029,8075.2,7962.6,702,423,20150918
IC1512,20150423,0:00:00,7942,8043,8113,7918,486,800,20151218
IC1505,20150423,0:00:00,8193,8265.6,8378.8,8160.4,132278,14805,20150515
IC1506,20150423,0:00:00,8108,8204,8306.8,8096.8,5799,1761,20150619
IC1509,20150423,0:00:00,8029,8102,8180,7984.4,461,464,20150918
IC1512,20150424,0:00:00,8015.8,8039,8053,7862.4,357,893,20151218
IC1505,20150424,0:00:00,8247.8,8327.2,8349.8,8123.8,126381,14603,20150515
IC1506,20150424,0:00:00,8167.8,8240,8267.4,8035.4,6943,2235,20150619
IC1509,20150424,0:00:00,8080,8120,8151,7948.2,595,384,20150918
IC1512,20150427,0:00:00,8039,8068.2,8320.8,8026.6,633,909,20151218
IC1505,20150427,0:00:00,8368,8347.2,8548,8292,125335,15187,20150515
IC1506,20150427,0:00:00,8220.4,8262.6,8490,8220.4,7851,2596,20150619
IC1509,20150427,0:00:00,8177.6,8187,8419.8,8140,1046,608,20150918
IC1512,20150428,0:00:00,8074,7894.2,8141.4,7777.2,537,929,20151218
IC1505,20150428,0:00:00,8308,8147,8419,8011.6,164120,15900,20150515
IC1506,20150428,0:00:00,8262,8054,8335,7940.6,9281,2753,20150619
IC1509,20150428,0:00:00,8144.2,7993.4,8257.8,7881.8,849,607,20150918
IC1512,20150429,0:00:00,7900,8024,8025.8,7825.6,392,979,20151218
IC1505,20150429,0:00:00,8138,8302.2,8309,8079,134158,17677,20150515
IC1506,20150429,0:00:00,8066.6,8209,8209,7997,5535,2889,20150619
IC1509,20150429,0:00:00,8076.6,8118,8118,7933.8,679,690,20150918
IC1512,20150430,0:00:00,8056.8,8041,8123,8020.4,233,989,20151218
IC1505,20150430,0:00:00,8320,8338.8,8408,8291.2,120118,16354,20150515
IC1506,20150430,0:00:00,8236.8,8234.6,8314.4,8204.6,5500,3046,20150619
IC1509,20150430,0:00:00,8139.4,8154,8224.8,8122.2,354,711,20150918
IC1512,20150504,0:00:00,8060,8031.2,8132,7919.8,231,986,20151218
IC1505,20150504,0:00:00,8370.2,8347.2,8527.4,8202.4,101734,16271,20150515
IC1506,20150504,0:00:00,8274.8,8226.4,8384,8112.4,4384,3328,20150619
IC1509,20150504,0:00:00,8200,8140.4,8299,8025.8,539,764,20150918
IC1512,20150505,0:00:00,8012,7830.6,8016,7780,210,971,20151218
IC1505,20150505,0:00:00,8334.8,8145,8345,8090,109987,15884,20150515
IC1506,20150505,0:00:00,8217.2,8019.4,8220,7970.4,6804,3923,20150619
IC1509,20150505,0:00:00,8121.8,7935.4,8127.6,7892.2,522,841,20150918
IC1512,20150506,0:00:00,7830.6,7705,7950,7601,448,1005,20151218
IC1505,20150506,0:00:00,8168,8040.8,8280.6,7970,111973,15456,20150515
IC1506,20150506,0:00:00,8118.2,7933,8166.6,7858.8,7587,4019,20150619
IC1509,20150506,0:00:00,7935.4,7835.2,8071,7774.6,640,845,20150918
IC1512,20150507,0:00:00,7710.8,7612,7720,7610,393,910,20151218
IC1505,20150507,0:00:00,8020,7911.4,8068,7901,109599,15127,20150515
IC1506,20150507,0:00:00,7900,7834.4,7948,7811,7818,4074,20150619
IC1509,20150507,0:00:00,7804,7716,7859.6,7715,692,827,20150918
IC1512,20150508,0:00:00,7660.8,7859,7859,7644.6,368,932,20151218
IC1505,20150508,0:00:00,7933.4,8171.2,8171.4,7921,121062,16258,20150515
IC1506,20150508,0:00:00,7894.8,8085,8085,7854,11857,4183,20150619
IC1509,20150508,0:00:00,7775.8,7976.6,7976.6,7755.6,1654,1126,20150918
IC1512,20150511,0:00:00,7899.8,8109,8116.6,7854.2,343,983,20151218
IC1505,20150511,0:00:00,8170,8489.8,8508,8144,124722,16314,20150515
IC1506,20150511,0:00:00,8118.8,8394,8403.4,8041.4,15844,5421,20150619
IC1509,20150511,0:00:00,7976.6,8211.6,8228,7926,1714,1395,20150918
IC1512,20150512,0:00:00,8132.6,8226,8230,8042.2,461,1057,20151218
IC1505,20150512,0:00:00,8499.6,8647.8,8648,8415.4,152019,14671,20150515
IC1506,20150512,0:00:00,8394,8557.6,8565,8311,30321,11079,20150619
IC1509,20150512,0:00:00,8220.2,8323.8,8349.4,8152,1296,1486,20150918
IC1512,20150513,0:00:00,8182.2,8203,8265.4,8100,987,1325,20151218
IC1505,20150513,0:00:00,8595,8695.8,8779,8492,189658,14624,20150515
IC1506,20150513,0:00:00,8500,8571.6,8656.6,8400,54812,16503,20150619
IC1509,20150513,0:00:00,8319.6,8367.4,8404.6,8207.4,2162,1931,20150918
IC1512,20150514,0:00:00,8192.6,8162.8,8278,8100.4,779,1357,20151218
IC1505,20150514,0:00:00,8689,8760.4,8813.6,8645.2,112711,8971,20150515
IC1506,20150514,0:00:00,8530,8603,8680,8477.6,133372,23309,20150619
IC1509,20150514,0:00:00,8367.4,8345,8445,8255,2254,2273,20150918
IC1512,20150515,0:00:00,8147,8216.6,8318.4,8101.4,764,1431,20151218
IC1505,20150515,0:00:00,8754.8,8755.2,8769.8,8605.4,36739,0,20150515
IC1506,20150515,0:00:00,8610,8579.8,8718,8482,182662,28064,20150619
IC1509,20150515,0:00:00,8348,8348.6,8483.2,8266,2397,1979,20150918
IC1506,20150518,0:00:00,8640.6,8798.4,8822.2,8580,202968,32183,20150619
IC1507,20150518,0:00:00,8597.6,8705.6,8726.6,8485,2668,490,20150717
IC1509,20150518,0:00:00,8385,8557.6,8586,8346.4,2430,2156,20150918
IC1512,20150518,0:00:00,8282.8,8378.2,8428.8,8222.2,795,1475,20151218
IC1506,20150519,0:00:00,8805.6,9120.8,9154.4,8736.2,228488,33556,20150619
IC1507,20150519,0:00:00,8705.6,9043.6,9071.8,8643,3071,620,20150717
