StockID,Date,Time,open,close,high,low,vol,OI,SettleDate,Maturity
IC1512,20150416,9:45:00,7799.6,7618,7799.6,7549.8,124,51,20151218,246
IC1512,20150416,10:15:00,7618,7708,7733,7618,65,94,20151218,246
IC1512,20150416,10:45:00,7708,7793,7794.4,7698.4,30,108,20151218,246
IC1512,20150416,11:15:00,7793,7730,7793,7725,34,126,20151218,246
IC1512,20150416,13:15:00,7730,7696.2,7730,7675.2,31,140,20151218,246
IC1512,20150416,13:45:00,7696.2,7666.8,7705.8,7666,44,170,20151218,246
IC1512,20150416,14:15:00,7666.8,7619.8,7679.8,7619.8,33,176,20151218,246
IC1512,20150416,14:45:00,7619.8,7568,7619.8,7525,59,201,20151218,246
IC1512,20150416,15:15:00,7561.4,7625.2,7638.4,7555,64,226,20151218,246
IC1505,20150416,9:45:00,7681,7591.8,7690,7480.2,17424,4333,20150515,29
IC1505,20150416,10:15:00,7592.4,7705.2,7715.6,7589.2,14692,6030,20150515,29
IC1505,20150416,10:45:00,7705,7773.2,7790,7692.8,16423,6992,20150515,29
IC1505,20150416,11:15:00,7773.6,7750.4,7777,7720.4,13286,7384,20150515,29
IC1505,20150416,13:15:00,7750,7708.4,7760.8,7692.4,12400,7348,20150515,29
IC1505,20150416,13:45:00,7708.4,7721.8,7728.2,7700,8511,7604,20150515,29
IC1505,20150416,14:15:00,7722.4,7616.4,7723,7612,9505,7947,20150515,29
IC1505,20150416,14:45:00,7616.2,7650.2,7675.4,7560.4,15252,7470,20150515,29
IC1505,20150416,15:15:00,7650,7707.8,7714.8,7630,9395,6643,20150515,29
IC1506,20150416,9:45:00,7520,7570,7680,7464.4,1109,418,20150619,64
IC1506,20150416,10:15:00,7568,7675.6,7683.2,7560.4,799,492,20150619,64
IC1506,20150416,10:45:00,7675.6,7740,7757,7662.8,716,668,20150619,64
IC1506,20150416,11:15:00,7740,7716.8,7740,7692,348,730,20150619,64
IC1506,20150416,13:15:00,7716.8,7678.6,7733.4,7664.2,383,722,20150619,64
IC1506,20150416,13:45:00,7678.6,7687.4,7696.6,7671,239,769,20150619,64
IC1506,20150416,14:15:00,7687.4,7577.8,7690,7575.6,368,813,20150619,64
IC1506,20150416,14:45:00,7580,7589.6,7620.2,7526.2,616,824,20150619,64
IC1506,20150416,15:15:00,7589.6,7652.4,7658.2,7582.6,707,856,20150619,64
IC1509,20150416,9:45:00,7752.8,7596.4,7752.8,7516.2,222,105,20150918,155
IC1509,20150416,10:15:00,7596.4,7689.4,7689.4,7524,144,129,20150918,155
IC1509,20150416,10:45:00,7689.4,7762.8,7762.8,7684.2,118,172,20150918,155
IC1509,20150416,11:15:00,7762.8,7740,7762.8,7705.6,43,173,20150918,155
IC1509,20150416,13:15:00,7740,7704.8,7740,7680,47,183,20150918,155
IC1509,20150416,13:45:00,7704.8,7698.6,7714.8,7693.2,46,193,20150918,155
IC1509,20150416,14:15:00,7698.6,7600,7703.2,7600,27,198,20150918,155
IC1509,20150416,14:45:00,7600,7602.8,7635.2,7550,65,210,20150918,155
IC1509,20150416,15:15:00,7602.8,7643.2,7643.2,7595,31,215,20150918,155
IC1512,20150417,9:45:00,7625.2,7608.2,7663.6,7571,42,234,20151218,245
IC1512,20150417,10:15:00,7608.2,7620,7706.2,7608.2,61,254,20151218,245
IC1512,20150417,10:45:00,7618,7564.6,7618,7545.2,60,266,20151218,245
IC1512,20150417,11:15:00,7564.6,7580,7600,7541.6,52,302,20151218,245
IC1512,20150417,13:15:00,7580,7592.8,7610,7570.2,51,317,20151218,245
IC1512,20150417,13:45:00,7592.8,7541,7592.8,7541,27,324,20151218,245
