StockID,Date,Time,open,close,high,low,vol,OI,SettleDate
IF1012,20100416,0:00:00,3618.8,3557,3669,3551.2,2831,0,20101217
IF1005,20100416,0:00:00,3450,3415.6,3488,3413.2,48988,0,20100521
IF1006,20100416,0:00:00,3470,3441.6,3517.6,3440,4908,0,20100618
IF1009,20100416,0:00:00,3600,3512,3647.8,3505.4,1730,0,20100917
IF1012,20100419,0:00:00,3531.2,3320,3532,3308.8,3315,287,20101217
IF1005,20100419,0:00:00,3396,3197.4,3398,3166.2,109733,3954,20100521
IF1006,20100419,0:00:00,3420,3218,3420,3195.2,8093,580,20100618
IF1009,20100419,0:00:00,3482.2,3262,3482.2,3256.8,2471,299,20100917
IF1012,20100420,0:00:00,3332.2,3353,3370,3315.8,1573,287,20101217
IF1005,20100420,0:00:00,3209.2,3214.6,3240,3168.8,141862,3954,20100521
IF1006,20100420,0:00:00,3227.2,3241.4,3261,3198,8005,580,20100618
IF1009,20100420,0:00:00,3268,3292,3323,3245.2,1979,299,20100917
IF1012,20100421,0:00:00,3364,3409,3420,3351,1062,363,20101217
IF1005,20100421,0:00:00,3215,3267.2,3281.2,3208,114531,4496,20100521
IF1006,20100421,0:00:00,3244.2,3292.8,3307.8,3237,4678,634,20100618
IF1009,20100421,0:00:00,3299,3348,3360.4,3276,752,317,20100917
IF1012,20100422,0:00:00,3404.8,3387.4,3414.8,3359.4,847,363,20101217
IF1005,20100422,0:00:00,3260.2,3236.2,3274.4,3211,133247,5062,20100521
IF1006,20100422,0:00:00,3295,3266.8,3304.2,3244.6,5281,634,20100618
IF1009,20100422,0:00:00,3345.4,3316,3353,3290.2,932,260,20100917
IF1012,20100423,0:00:00,3388.6,3385,3428.4,3381,670,369,20101217
IF1005,20100423,0:00:00,3241,3221.2,3266,3221,116981,5383,20100521
IF1006,20100423,0:00:00,3266.8,3255.8,3293.6,3254,3697,653,20100618
IF1009,20100423,0:00:00,3316,3304,3344.8,3304,615,311,20100917
IF1012,20100426,0:00:00,3419.8,3390.4,3419.8,3379.2,518,374,20101217
IF1005,20100426,0:00:00,3243,3219.6,3252,3211.8,112229,5808,20100521
IF1006,20100426,0:00:00,3277.2,3255,3285,3249.2,3082,730,20100618
IF1009,20100426,0:00:00,3304,3312,3334.6,3304,430,310,20100917
IF1012,20100427,0:00:00,3390.4,3338.2,3390.4,3314.4,860,383,20101217
IF1005,20100427,0:00:00,3201.2,3138.8,3205,3107.6,139961,7079,20100521
IF1006,20100427,0:00:00,3237.8,3180.4,3238,3149,4616,906,20100618
IF1009,20100427,0:00:00,3312,3262.8,3312,3203.4,686,319,20100917
IF1012,20100428,0:00:00,3300.4,3339.8,3348.4,3300.4,562,428,20101217
IF1005,20100428,0:00:00,3101.6,3129,3142.6,3094.2,128530,7386,20100521
IF1006,20100428,0:00:00,3151,3172,3184.6,3133.2,4316,1191,20100618
IF1009,20100428,0:00:00,3249.8,3255,3265.6,3208,383,262,20100917
IF1012,20100429,0:00:00,3356,3298.2,3364.4,3298.2,379,414,20101217
IF1005,20100429,0:00:00,3141,3083.8,3157.6,3082.2,116254,7092,20100521
IF1006,20100429,0:00:00,3181.2,3131,3199.4,3130,4331,1299,20100618
IF1009,20100429,0:00:00,3267.6,3215,3281.8,3215,290,262,20100917
IF1012,20100430,0:00:00,3307.2,3326.8,3339,3278.4,658,473,20101217
IF1005,20100430,0:00:00,3103,3107,3119.6,3043,184157,8297,20100521
IF1006,20100430,0:00:00,3149,3149.4,3157.8,3090.4,8139,1836,20100618
IF1009,20100430,0:00:00,3235.8,3243.2,3252.4,3190,426,312,20100917
IF1012,20100504,0:00:00,3295,3294,3310,3285,482,473,20101217
IF1005,20100504,0:00:00,3079.8,3076.4,3094.4,3060.8,150123,8297,20100521
IF1006,20100504,0:00:00,3128.6,3116.8,3131.8,3102.2,6498,1836,20100618
IF1009,20100504,0:00:00,3210,3213,3229.6,3201,468,312,20100917
IF1012,20100505,0:00:00,3268.8,3278,3288.6,3253.4,487,489,20101217
IF1005,20100505,0:00:00,3046.4,3076.4,3087,3031,145542,8261,20100521
IF1006,20100505,0:00:00,3094.4,3115,3121.2,3072,7096,1930,20100618
IF1009,20100505,0:00:00,3184.6,3198.4,3207.6,3164.2,585,337,20100917
IF1012,20100506,0:00:00,3274.8,3195,3280.2,3181.6,636,596,20101217
IF1005,20100506,0:00:00,3078.6,2967.4,3083.4,2953.6,170221,10150,20100521
IF1006,20100506,0:00:00,3116.2,3018.8,3120.8,3011,10154,2881,20100618
IF1009,20100506,0:00:00,3199.8,3120,3202,3105.8,688,474,20100917
IF1012,20100507,0:00:00,3127,3100,3160,3082,873,596,20101217
IF1005,20100507,0:00:00,2928,2897.6,2959.8,2862.2,240106,10150,20100521
IF1006,20100507,0:00:00,2979,2943,2998.6,2921,15275,2881,20100618
IF1009,20100507,0:00:00,3045.4,3033.8,3080.6,3007,422,474,20100917
IF1012,20100510,0:00:00,3067,3078,3118.4,3052.2,1112,590,20101217
IF1005,20100510,0:00:00,2910,2918,2931,2870,201919,8282,20100521
IF1006,20100510,0:00:00,2949,2961.6,2972,2919,14788,2772,20100618
IF1009,20100510,0:00:00,3033.8,3027,3059,2998,388,470,20100917
IF1012,20100511,0:00:00,3099.8,2948.6,3110,2946.6,1227,811,20101217
IF1005,20100511,0:00:00,2949,2801.6,2957.8,2797.2,224626,8987,20100521
IF1006,20100511,0:00:00,3000.2,2834,3007,2833,19895,3831,20100618
IF1009,20100511,0:00:00,3038,2898,3067.6,2898,564,582,20100917
IF1012,20100512,0:00:00,2951.2,2940,2978.6,2882.8,1742,891,20101217
IF1005,20100512,0:00:00,2809,2836.2,2855,2782,273131,8144,20100521
IF1006,20100512,0:00:00,2831,2870,2885.8,2822,39181,4694,20100618
IF1009,20100512,0:00:00,2910,2900.2,2938.4,2861.2,971,623,20100917
IF1012,20100513,0:00:00,2945.2,2996.8,3000,2925.2,1289,953,20101217
IF1005,20100513,0:00:00,2847.8,2894.6,2915.6,2823,217422,8276,20100521
IF1006,20100513,0:00:00,2888,2927.2,2938.4,2863,35798,5172,20100618
IF1009,20100513,0:00:00,2915,2960.6,2964,2891.8,644,671,20100917
IF1012,20100514,0:00:00,2985.8,2965.8,2998,2953.2,1166,978,20101217
IF1005,20100514,0:00:00,2880,2862.6,2894.8,2850.4,185453,6237,20100521
IF1006,20100514,0:00:00,2918,2883,2921,2875.8,41143,6028,20100618
