StockID,Date,Time,open,close,high,low,vol,OI,SettleDate
IH1512,20150416,0:00:00,3118.8,3318.4,3325.8,3107.4,717,240,20151218
IH1505,20150416,0:00:00,3100,3283.8,3288.2,3088.8,144423,28848,20150515
IH1506,20150416,0:00:00,3153,3295,3298,3088.8,10000,3604,20150619
IH1509,20150416,0:00:00,3089,3298.8,3309.8,3084.4,1727,772,20150918
IH1512,20150417,0:00:00,3356.8,3315.4,3408.8,3294.4,574,326,20151218
IH1505,20150417,0:00:00,3303.6,3254,3341.6,3238,271224,37853,20150515
IH1506,20150417,0:00:00,3303,3267.8,3345.4,3245.2,17943,5010,20150619
IH1509,20150417,0:00:00,3298.8,3284.6,3368.8,3265,3220,1645,20150918
IH1512,20150420,0:00:00,3331.4,3212.8,3382.8,3212.8,482,447,20151218
IH1505,20150420,0:00:00,3258,3146.8,3315,3143.6,267213,37975,20150515
IH1506,20150420,0:00:00,3310,3154,3322.4,3151.4,20581,5284,20150619
IH1509,20150420,0:00:00,3317.8,3167.6,3340,3164,3376,1953,20150918
IH1512,20150421,0:00:00,3234.2,3298.8,3304.2,3220.2,411,482,20151218
IH1505,20150421,0:00:00,3176.8,3234,3242.2,3153,239311,37771,20150515
IH1506,20150421,0:00:00,3177.6,3238.8,3245.6,3163.4,13016,5354,20150619
IH1509,20150421,0:00:00,3186.4,3248.8,3255,3174.4,2094,1841,20150918
IH1512,20150422,0:00:00,3298.8,3380.4,3398,3297.4,311,545,20151218
IH1505,20150422,0:00:00,3250,3308,3333.2,3229.8,239676,42623,20150515
IH1506,20150422,0:00:00,3251,3316.4,3335.4,3236.6,11398,5823,20150619
IH1509,20150422,0:00:00,3260.4,3332,3351.8,3251,1938,2021,20150918
IH1512,20150423,0:00:00,3393.8,3334.6,3416,3320,284,556,20151218
IH1505,20150423,0:00:00,3318.6,3267.8,3348.2,3253.4,246929,39573,20150515
IH1506,20150423,0:00:00,3324.8,3271.8,3354.6,3258.6,12531,5847,20150619
IH1509,20150423,0:00:00,3367.8,3286,3369.8,3276.8,2723,2338,20150918
IH1512,20150424,0:00:00,3334.6,3289.4,3334.6,3229.2,329,554,20151218
IH1505,20150424,0:00:00,3248.8,3233,3267.8,3170,224297,36034,20150515
IH1506,20150424,0:00:00,3241.8,3236.8,3272,3174.2,9437,5629,20150619
IH1509,20150424,0:00:00,3240.2,3243.6,3283,3189.4,2097,2411,20150918
IH1512,20150427,0:00:00,3299.8,3393.8,3400,3299.8,374,520,20151218
IH1505,20150427,0:00:00,3260,3357.6,3358,3257.8,259172,45698,20150515
IH1506,20150427,0:00:00,3238,3358,3358.8,3238,13093,5505,20150619
IH1509,20150427,0:00:00,3260.2,3366.6,3366.8,3260.2,1907,2140,20150918
IH1512,20150428,0:00:00,3390.2,3352.4,3431,3328.6,434,525,20151218
IH1505,20150428,0:00:00,3339,3286.8,3376,3265,329692,36374,20150515
IH1506,20150428,0:00:00,3360,3292,3383,3270.8,17714,5599,20150619
IH1509,20150428,0:00:00,3367,3304.4,3392.6,3283.8,2886,2489,20150918
IH1512,20150429,0:00:00,3343.2,3353.4,3379.8,3322,296,504,20151218
IH1505,20150429,0:00:00,3282,3295.2,3325.6,3261,242567,39968,20150515
IH1506,20150429,0:00:00,3288.6,3302.6,3330,3268,11779,5942,20150619
IH1509,20150429,0:00:00,3303,3310.4,3340.8,3277.2,1752,2461,20150918
IH1512,20150430,0:00:00,3368.4,3325.8,3390.8,3309.6,264,504,20151218
IH1505,20150430,0:00:00,3315.2,3269.4,3331.2,3247.2,202408,41181,20150515
IH1506,20150430,0:00:00,3319.8,3276,3335.4,3256.2,12104,6508,20150619
IH1509,20150430,0:00:00,3312.4,3279.4,3342.8,3265,1023,2571,20150918
IH1512,20150504,0:00:00,3331.4,3333.2,3361,3293.4,298,551,20151218
IH1505,20150504,0:00:00,3295.8,3273.2,3301.8,3225.8,189061,40335,20150515
IH1506,20150504,0:00:00,3290,3279.2,3310,3233.8,11282,6554,20150619
IH1509,20150504,0:00:00,3305.6,3287,3318.8,3244,1343,2627,20150918
IH1512,20150505,0:00:00,3333.2,3221.2,3333.2,3201.4,377,545,20151218
IH1505,20150505,0:00:00,3279.6,3163,3281.6,3141.2,217674,38274,20150515
IH1506,20150505,0:00:00,3284.8,3173,3284.8,3150,15195,6814,20150619
IH1509,20150505,0:00:00,3293.4,3178,3293.4,3157.4,2099,2734,20150918
IH1512,20150506,0:00:00,3221.2,3205.8,3305,3176.4,372,553,20151218
IH1505,20150506,0:00:00,3171.2,3153,3257.4,3116,261933,36206,20150515
