StockID,Date,Time,open,close,high,low,vol,OI,SettleDate,Maturity
IH1512,20150416,9:45:00,3118.8,3194,3207.8,3107.4,200,125,20151218,246
IH1512,20150416,10:15:00,3194,3187.6,3207,3180,53,148,20151218,246
IH1512,20150416,10:45:00,3187.6,3187.2,3195.6,3180,58,149,20151218,246
IH1512,20150416,11:15:00,3187.2,3209.8,3209.8,3187.2,29,150,20151218,246
IH1512,20150416,13:15:00,3209.8,3260.6,3277.4,3209.8,57,158,20151218,246
IH1512,20150416,13:45:00,3260.6,3250,3260.6,3228.8,66,178,20151218,246
IH1512,20150416,14:15:00,3250,3215,3250,3215,100,215,20151218,246
IH1512,20150416,14:45:00,3215,3245,3245,3214.6,70,222,20151218,246
IH1512,20150416,15:15:00,3245,3318.4,3325.8,3245,84,240,20151218,246
IH1505,20150416,9:45:00,3100,3126.4,3167.8,3088.8,17559,8404,20150515,29
IH1505,20150416,10:15:00,3126.4,3121.4,3135,3109.6,10692,11489,20150515,29
IH1505,20150416,10:45:00,3121.4,3127.2,3131.2,3109.2,7925,12077,20150515,29
IH1505,20150416,11:15:00,3127,3160,3162,3121,10466,13963,20150515,29
IH1505,20150416,13:15:00,3160.2,3213,3219,3155.4,21844,20112,20150515,29
IH1505,20150416,13:45:00,3212.8,3193.8,3213,3175,16593,21933,20150515,29
IH1505,20150416,14:15:00,3194,3166.4,3197.6,3165,17206,23251,20150515,29
IH1505,20150416,14:45:00,3167,3207.4,3207.4,3166,17038,24609,20150515,29
IH1505,20150416,15:15:00,3207.2,3283.8,3288.2,3202.6,25100,28848,20150515,29
IH1506,20150416,9:45:00,3153,3132.8,3160.6,3088.8,1395,748,20150619,64
IH1506,20150416,10:15:00,3132.4,3126.8,3142.2,3110,1142,1322,20150619,64
IH1506,20150416,10:45:00,3126.8,3133,3136,3113.8,556,1510,20150619,64
IH1506,20150416,11:15:00,3133,3156.6,3156.6,3126.8,767,1843,20150619,64
IH1506,20150416,13:15:00,3156.6,3217.8,3225,3156.6,1288,2325,20150619,64
IH1506,20150416,13:45:00,3217.8,3200.2,3220.6,3180.6,961,2462,20150619,64
IH1506,20150416,14:15:00,3200.2,3171,3204.4,3171,929,2652,20150619,64
IH1506,20150416,14:45:00,3171,3209.8,3211.8,3171,933,2824,20150619,64
IH1506,20150416,15:15:00,3209.8,3295,3298,3209,2029,3604,20150619,64
IH1509,20150416,9:45:00,3089,3142,3168.6,3084.4,348,227,20150918,155
IH1509,20150416,10:15:00,3142,3138.2,3158,3130,237,358,20150918,155
IH1509,20150416,10:45:00,3138.2,3138,3154,3127.6,120,422,20150918,155
IH1509,20150416,11:15:00,3138,3160.6,3160.6,3137.2,109,460,20150918,155
IH1509,20150416,13:15:00,3160.6,3226.4,3240.4,3160,187,543,20150918,155
IH1509,20150416,13:45:00,3226.4,3205,3226.4,3186.8,178,602,20150918,155
IH1509,20150416,14:15:00,3205,3180,3207,3180,157,642,20150918,155
IH1509,20150416,14:45:00,3180,3217,3217.2,3180,119,668,20150918,155
IH1509,20150416,15:15:00,3217,3298.8,3309.8,3213,272,772,20150918,155
IH1512,20150417,9:45:00,3356.8,3351,3408.8,3348.8,209,328,20151218,245
IH1512,20150417,10:15:00,3351,3366.2,3379.2,3331.6,100,337,20151218,245
IH1512,20150417,10:45:00,3366.2,3321.8,3366.2,3320,31,330,20151218,245
IH1512,20150417,11:15:00,3321.8,3350,3351.8,3308.2,55,338,20151218,245
IH1512,20150417,13:15:00,3350,3323,3353.2,3309,52,343,20151218,245
IH1512,20150417,13:45:00,3323,3315.6,3334.2,3304.4,35,337,20151218,245
IH1512,20150417,14:15:00,3315.6,3339,3344.2,3294.4,32,341,20151218,245
IH1512,20150417,14:45:00,3339,3364.4,3366,3335.6,34,329,20151218,245
IH1512,20150417,15:15:00,3364.4,3315.4,3364.4,3304.8,26,326,20151218,245
IH1505,20150417,9:45:00,3303.6,3308.2,3341.6,3294,42604,35348,20150515,28
IH1505,20150417,10:15:00,3308.8,3305.8,3323.2,3290.2,28979,37437,20150515,28
IH1505,20150417,10:45:00,3306,3260.6,3308.4,3260,30714,37663,20150515,28
IH1505,20150417,11:15:00,3260.2,3288.4,3296.6,3253.6,28604,38827,20150515,28
IH1505,20150417,13:15:00,3288.6,3263.4,3298.6,3253.8,25709,38369,20150515,28
IH1505,20150417,13:45:00,3263,3254.8,3283.6,3254,24799,39306,20150515,28
IH1505,20150417,14:15:00,3255,3278.4,3289.6,3238,27201,38595,20150515,28
IH1505,20150417,14:45:00,3278.4,3306.8,3318,3270.2,30328,40075,20150515,28
IH1505,20150417,15:15:00,3306.8,3254,3311.4,3246.2,32286,37853,20150515,28
IH1506,20150417,9:45:00,3303,3314.8,3345.4,3303,4959,4836,20150619,63
IH1506,20150417,10:15:00,3315.2,3312.6,3330.6,3296.8,2194,5053,20150619,63
IH1506,20150417,10:45:00,3312.6,3268.4,3315.2,3268.2,2167,4839,20150619,63
IH1506,20150417,11:15:00,3268.4,3291.8,3299.2,3262,1898,4755,20150619,63
IH1506,20150417,13:15:00,3291.8,3268.6,3300.6,3261,1267,4737,20150619,63
IH1506,20150417,13:45:00,3268.6,3261.6,3289.4,3259.2,896,4783,20150619,63
IH1506,20150417,14:15:00,3261.6,3283.4,3294,3245.2,1099,4874,20150619,63
IH1506,20150417,14:45:00,3283.4,3312,3322.4,3276.8,1268,5124,20150619,63
IH1506,20150417,15:15:00,3312,3267.8,3318,3258,2195,5010,20150619,63
IH1509,20150417,9:45:00,3298.8,3336,3368.8,3298.8,611,1054,20150918,154
IH1509,20150417,10:15:00,3336,3328,3340,3311,448,1157,20150918,154
IH1509,20150417,10:45:00,3328.8,3281,3328.8,3281,305,1289,20150918,154
IH1509,20150417,11:15:00,3281,3308,3317.8,3271.8,344,1396,20150918,154
IH1509,20150417,13:15:00,3308,3293.4,3318,3274.4,268,1498,20150918,154
IH1509,20150417,13:45:00,3293.4,3282,3305.4,3281,259,1570,20150918,154
IH1509,20150417,14:15:00,3282,3301.4,3313.8,3265,394,1602,20150918,154
IH1509,20150417,14:45:00,3301.4,3333,3339,3297.6,199,1601,20150918,154
IH1509,20150417,15:15:00,3333,3284.6,3333.6,3271,392,1645,20150918,154
IH1512,20150420,9:45:00,3331.4,3350,3356,3296.2,107,348,20151218,242
IH1512,20150420,10:15:00,3350,3330.2,3359.8,3319.8,37,349,20151218,242
IH1512,20150420,10:45:00,3330.2,3341.8,3349.6,3320.2,20,356,20151218,242
