,curr_con,curr_con_trend,curr_con_trand2,next_con,next_con_trend,next_con_trend2,curr_con_trend2
20100416,IF1005,,,IF1006,,,
20100419,IF1005,-1,,IF1006,-1,,
20100420,IF1005,,,IF1006,,,
20100421,IF1005,,,IF1006,,,
20100422,IF1005,,,IF1006,,,
20100423,IF1005,,,IF1006,,,
20100426,IF1005,,,IF1006,,,
20100427,IF1005,,,IF1006,,,
20100428,IF1005,,,IF1006,,,
20100429,IF1005,,,IF1006,,,
20100430,IF1005,,,IF1006,,,-1.0
20100504,IF1005,,,IF1006,,,-1.0
20100505,IF1005,,,IF1006,,,-1.0
20100506,IF1005,-1,,IF1006,-1,,-1.0
20100507,IF1005,,,IF1006,,,-1.0
20100510,IF1005,,,IF1006,,,-1.0
20100511,IF1005,-1,,IF1006,-1,,-1.0
20100512,IF1005,,,IF1006,,,-1.0
20100513,IF1005,,,IF1006,,,
20100514,IF1005,,,IF1006,,,
20100517,IF1005,-1,,IF1006,-1,,
20100518,IF1005,,,IF1006,1,,
20100519,IF1005,,,IF1006,,,
20100520,IF1005,,,IF1006,,,
20100521,IF1005,,,IF1006,1,,
20100524,IF1006,1,,IF1007,1,,
20100525,IF1006,,,IF1007,-1,,
20100526,IF1006,,,IF1007,,,
20100527,IF1006,1,,IF1007,1,,
20100528,IF1006,,,IF1007,,,
20100531,IF1006,,,IF1007,,,
20100601,IF1006,,,IF1007,,,
20100602,IF1006,,,IF1007,,,
20100603,IF1006,,,IF1007,,,
20100604,IF1006,,,IF1007,,,-1.0
20100607,IF1006,,,IF1007,,,-1.0
20100608,IF1006,,,IF1007,,,-1.0
20100609,IF1006,1,,IF1007,1,,
20100610,IF1006,,,IF1007,,,
20100611,IF1006,,,IF1007,,,
20100617,IF1006,,,IF1007,,,
20100618,IF1006,,,IF1007,,,
20100621,IF1007,,,IF1008,1,,
20100622,IF1007,,,IF1008,,,
20100623,IF1007,,,IF1008,,,
20100624,IF1007,,,IF1008,,,
20100625,IF1007,,,IF1008,,,
20100628,IF1007,,,IF1008,,,
20100629,IF1007,-1,,IF1008,-1,,-1.0
20100630,IF1007,,,IF1008,,,-1.0
20100701,IF1007,,,IF1008,,,-1.0
20100702,IF1007,,,IF1008,,,-1.0
20100705,IF1007,,,IF1008,,,-1.0
20100706,IF1007,,,IF1008,,,
20100707,IF1007,,,IF1008,,,
20100708,IF1007,,,IF1008,,,
20100709,IF1007,1,,IF1008,1,,
20100712,IF1007,,,IF1008,,,
20100713,IF1007,,,IF1008,,,
20100714,IF1007,,,IF1008,,,
20100715,IF1007,,,IF1008,,,
20100716,IF1007,,,IF1008,,,
20100719,IF1008,1,,IF1009,1,,
20100720,IF1008,,,IF1009,,,
20100721,IF1008,,,IF1009,,,
20100722,IF1008,,,IF1009,,,
20100723,IF1008,,,IF1009,,,
20100726,IF1008,,,IF1009,,,
20100727,IF1008,,,IF1009,,,
20100728,IF1008,1,,IF1009,1,,1.0
20100729,IF1008,,,IF1009,,,1.0
20100730,IF1008,,,IF1009,,,1.0
20100802,IF1008,,,IF1009,,,1.0
20100803,IF1008,,,IF1009,,,
20100804,IF1008,,,IF1009,,,
20100805,IF1008,,,IF1009,,,
20100806,IF1008,,,IF1009,,,
20100809,IF1008,,,IF1009,,,
20100810,IF1008,-1,,IF1009,-1,,
20100811,IF1008,,,IF1009,,,
20100812,IF1008,,,IF1009,,,
20100813,IF1008,,,IF1009,,,
20100816,IF1008,1,,IF1009,1,,
20100817,IF1008,,,IF1009,,,
20100818,IF1008,,,IF1009,,,
20100819,IF1008,,,IF1009,,,
20100820,IF1008,,,IF1009,,,
20100823,IF1009,,,IF1010,,,
20100824,IF1009,,,IF1010,,,
