,Date,Time,FutureID,Action,Price,Profit,Amount
0,20100422,10:15:00,IF1005,short,3236.2,,970860.0
0,20100428,14:45:00,IF1005,close_pos,3137.8,29476.019399999892,1000379.9999999999
0,20100428,14:45:00,IF1005,long,3137.8,,1000379.9999999999
0,20100429,14:45:00,IF1005,close_pos,3137.4,-163.29888000002728,1000259.9999999999
0,20100429,14:45:00,IF1005,short,3137.4,,1000259.9999999999
0,20100430,15:15:00,IF1005,close_pos,3118.52,5620.834152000033,1005923.9999999999
0,20100430,9:45:00,IF1005,short,3082.2,,1005923.9999999999
0,20100504,10:15:00,IF1005,close_pos,3076.6,1637.5042799999728,1007603.9999999999
0,20100506,10:15:00,IF1005,short,3064.0,,1007603.9999999999
0,20100514,13:45:00,IF1005,close_pos,2892.0,51558.9036,1059204.0
0,20100514,13:45:00,IF1005,long,2892.0,,1059204.0
0,20100517,10:15:00,IF1005,close_pos,2821.6,-21159.42384000003,1038084.0
0,20100520,10:15:00,IF1005,long,2798.8,,1038084.0
0,20100520,close_switch,IF1005,close_pos,2735.0,-19712.748300000054,1018944.0
0,20100521,15:15:00,IF1006,long,2798.6,,1018944.0
0,20100525,13:45:00,IF1006,close_pos,2825.56,8049.193296000011,1027032.0
0,20100527,14:15:00,IF1006,long,2879.0,,1027032.0
0,20100528,13:15:00,IF1006,close_pos,2891.6,3740.1828599999726,1030812.0
0,20100603,15:15:00,IF1006,short,2762.2,,1030812.0
0,20100604,10:45:00,IF1006,close_pos,2755.3999999999996,2001.9285600000546,1032852.0
0,20100604,9:45:00,IF1006,short,2740.0,,1032852.0
0,20100609,14:15:00,IF1006,close_pos,2728.0,3562.2708,1036452.0
0,20100610,13:45:00,IF1006,long,2784.8,,1036452.0
0,20100617,15:15:00,IF1006,close_pos,2751.8,-9938.20254,1026552.0
0,20100621,13:45:00,IF1007,long,2790.0,,1026552.0
0,20100623,13:15:00,IF1007,close_pos,2759.4,-9218.290859999972,1017372.0
0,20100624,14:45:00,IF1007,short,2758.6,,1017372.0
0,20100709,14:15:00,IF1007,close_pos,2657.4,30322.629599999946,1047732.0
0,20100709,14:15:00,IF1007,long,2657.4,,1047732.0
0,20100712,13:15:00,IF1007,close_pos,2664.52,2099.2787519999674,1049868.0
0,20100714,13:45:00,IF1007,short,2646.4,,1049868.0
0,20100715,close_switch,IF1007,close_pos,2604.0,12683.772240000028,1062588.0
0,20100719,11:15:00,IF1008,long,2639.0,,1062588.0
0,20100723,14:15:00,IF1008,close_pos,2768.0,38662.6917,1101288.0
0,20100723,14:15:00,IF1008,short,2768.0,,1101288.0
0,20100728,11:15:00,IF1008,close_pos,2804.0000000000005,-10838.446800000136,1090487.9999999998
0,20100728,13:15:00,IF1008,long,2828.8,,1090487.9999999998
0,20100803,15:15:00,IF1008,close_pos,2853.2000000000003,7280.794200000028,1097807.9999999998
0,20100805,10:45:00,IF1008,short,2857.8,,1097807.9999999998
0,20100806,10:15:00,IF1008,close_pos,2850.6000000000004,2120.6120399999454,1099967.9999999998
0,20100806,14:15:00,IF1008,long,2905.0,,1099967.9999999998
0,20100809,13:45:00,IF1008,close_pos,2895.0,-3040.02,1096967.9999999998
0,20100809,13:45:00,IF1008,short,2895.0,,1096967.9999999998
0,20100816,10:45:00,IF1008,close_pos,2878.0,5060.1663,1102067.9999999998
0,20100816,10:45:00,IF1008,long,2878.0,,1102067.9999999998
0,20100819,close_switch,IF1008,close_pos,2964.8,25999.684680000053,1128107.9999999998
0,20100824,15:15:00,IF1009,short,2915.0,,1128107.9999999998
0,20100830,10:15:00,IF1009,close_pos,2901.6,3979.8654600000273,1132127.9999999998
0,20100830,14:45:00,IF1009,short,2922.8,,1132127.9999999998
0,20100901,11:15:00,IF1009,close_pos,2954.8,-9640.55544,1122527.9999999998
0,20100901,11:15:00,IF1009,long,2954.8,,1122527.9999999998
0,20100903,13:15:00,IF1009,close_pos,2904.1857142857143,-15224.712715714333,1107343.714285714
0,20100906,10:15:00,IF1009,long,2967.0,,1107343.714285714
0,20100908,10:45:00,IF1009,close_pos,2973.2,1819.0126199999454,1109203.714285714
0,20100913,13:15:00,IF1009,long,2962.0,,1109203.714285714
0,20100914,11:15:00,IF1009,close_pos,2968.6,1939.0788599999728,1111183.714285714
0,20100914,13:15:00,IF1009,short,2965.2,,1111183.714285714
0,20100916,close_switch,IF1009,close_pos,2867.6,29239.753679999973,1140463.714285714
0,20100920,13:15:00,IF1010,short,2850.0,,1140463.714285714
0,20100927,10:15:00,IF1010,close_pos,2883.4,-10059.560460000028,1130443.714285714
0,20100927,11:15:00,IF1010,long,2896.0,,1130443.714285714
0,20100928,10:15:00,IF1010,close_pos,2897.4,380.02554000002726,1130863.714285714
0,20100928,10:15:00,IF1010,short,2897.4,,1130863.714285714
0,20100930,11:15:00,IF1010,close_pos,2914.0,-5020.098659999972,1125883.714285714
0,20100930,11:15:00,IF1010,long,2914.0,,1125883.714285714
0,20101014,close_switch,IF1010,close_pos,3230.8,94997.60088000006,1220923.714285714
0,20101015,13:15:00,IF1011,long,3316.6,,1220923.714285714
0,20101018,15:15:00,IF1011,close_pos,3337.64,6266.085743999989,1227235.714285714
0,20101018,9:45:00,IF1011,long,3394.8,,1227235.714285714
0,20101020,10:15:00,IF1011,close_pos,3402.0,2113.1020799999455,1229395.714285714
0,20101020,11:15:00,IF1011,long,3434.4,,1229395.714285714
0,20101021,10:15:00,IF1011,close_pos,3450.16,4680.496535999929,1234123.714285714
