,name,exchange,code,jump
1,50ETF,SH,510710,0.00264 
2,300ETF,SH,510300,0.00209 
3,芯片ETF,SZ,159995,0.00201 
4,黄金ETF,SH,518880,0.00204 
5,500ETF,SH,510500,0.00240 
6,创业50,SZ,159949,0.00200 
7,创业板,SZ,159915,0.00204 
8,TMTETF,SH,512220,0.00423 
9,消费ETF,SZ,159928,0.00262 
10,军工ETF,SH,512660,0.00202 
11,证券ETF,SH,512880,0.00201 
12,H股ETF,SH,510900,0.00201 
13,券商ETF,SH,512000,0.00201 
14,银行ETF,SH,512800,0.00200 
15,5GETF,SH,515050,0.00200 
16,军工龙头ETF,SH,512710,0.00220 
17,有色金属ETF,SH,512400,0.00200 
18,新能源车ETF,SH,515030,0.00201 
