,ETFID,ContractNum,Value
20200304,SH515030,1,98.5
20200305,SH515030,1,97.60000000000001
20200306,SH515030,1,96.57142857142857
20200309,SH515030,1,99.27142857142857
20200310,SH515030,1,97.97142857142858
20200311,SH515030,1,99.07142857142858
20200312,SH515030,1,99.57142857142858
20200313,SH515030,1,98.67142857142858
20200316,SH515030,1,104.17142857142858
20200317,SH515030,1,105.01142857142858
20200318,SH515030,1,103.81142857142858
20200319,SH515030,1,104.73142857142858
20200320,SH515030,1,105.37142857142858
20200323,SH515030,1,106.2914285714286
20200324,SH515030,1,105.24142857142859
20200325,SH515030,1,106.34142857142858
20200326,SH515030,1,106.64142857142858
20200327,SH515030,1,105.84857142857143
20200330,SH515030,1,104.82000000000002
20200331,SH515030,1,104.0057142857143
20200401,SH515030,1,104.8057142857143
20200402,SH515030,1,106.6057142857143
20200403,SH515030,1,107.20571428571431
20200407,SH515030,1,107.5057142857143
20200408,SH515030,1,107.80571428571429
20200409,SH515030,1,108.10571428571427
20200410,SH515030,1,109.70571428571427
20200413,SH515030,1,109.90571428571427
20200414,SH515030,1,111.90571428571427
20200415,SH515030,1,111.20571428571427
20200416,SH515030,1,110.21999999999997
20200417,SH515030,1,109.34142857142854
20200420,SH515030,1,108.94142857142853
20200421,SH515030,1,109.54142857142853
20200422,SH515030,1,108.8985714285714
20200423,SH515030,1,109.2985714285714
20200424,SH515030,1,108.35571428571426
20200427,SH515030,1,108.05571428571426
20200428,SH515030,1,108.89571428571426
20200429,SH515030,1,108.23142857142855
20200430,SH515030,1,109.63142857142856
20200506,SH515030,1,108.51714285714284
20200507,SH515030,1,107.85285714285713
20200508,SH515030,1,108.45285714285714
20200511,SH515030,1,109.45285714285714
20200512,SH515030,1,108.65285714285713
20200513,SH515030,1,107.98857142857142
20200514,SH515030,1,108.38857142857142
20200515,SH515030,1,107.7242857142857
20200518,SH515030,1,108.3242857142857
20200519,SH515030,1,107.7242857142857
20200520,SH515030,1,107.03857142857142
20200521,SH515030,1,109.13857142857141
20200522,SH515030,1,109.89857142857142
20200525,SH515030,1,109.79857142857142
20200526,SH515030,1,111.89857142857142
20200527,SH515030,1,110.97714285714284
20200528,SH515030,1,111.17714285714284
20200529,SH515030,1,111.47714285714285
20200601,SH515030,1,112.97714285714285
20200602,SH515030,1,113.07714285714286
20200603,SH515030,1,112.34857142857143
20200604,SH515030,1,111.62
20200605,SH515030,1,110.99857142857144
20200608,SH515030,1,110.33428571428573
20200609,SH515030,1,109.71285714285716
20200610,SH515030,1,109.71285714285716
20200611,SH515030,1,108.87714285714287
20200612,SH515030,1,108.87714285714287
20200615,SH515030,1,107.77714285714288
20200616,SH515030,1,108.47714285714288
20200617,SH515030,1,109.37714285714289
20200618,SH515030,1,109.77714285714288
20200619,SH515030,1,111.57714285714287
20200622,SH515030,1,111.17714285714287
20200623,SH515030,1,110.51285714285716
20200624,SH515030,1,110.31285714285714
20200629,SH515030,1,110.81285714285714
20200630,SH515030,1,111.11285714285712
20200701,SH515030,1,112.31285714285714
20200702,SH515030,1,111.56285714285715
20200703,SH515030,1,112.06285714285714
20200706,SH515030,1,115.06285714285714
20200707,SH515030,1,116.26285714285714
20200708,SH515030,1,115.06285714285714
20200709,SH515030,1,116.06285714285714
20200710,SH515030,1,116.06285714285714
20200713,SH515030,1,118.26285714285714
20200714,SH515030,1,119.38285714285715
20200715,SH515030,1,120.42285714285714
20200716,SH515030,1,125.92285714285714
20200717,SH515030,1,123.52285714285713
20200720,SH515030,1,124.42285714285714
20200721,SH515030,1,124.12285714285713
20200722,SH515030,1,123.72285714285715
20200723,SH515030,1,124.84285714285716
20200724,SH515030,1,130.14285714285717
20200727,SH515030,1,130.54285714285717
20200728,SH515030,1,130.54285714285717
20200729,SH515030,1,132.94285714285718
20200730,SH515030,1,132.23571428571432
20200731,SH515030,1,130.77857142857147
20200803,SH515030,1,131.77857142857147
20200804,SH515030,1,130.60000000000005
20200805,SH515030,1,129.5928571428572
20200806,SH515030,1,128.89285714285722
20200807,SH515030,1,130.0928571428572
20200810,SH515030,1,129.1928571428572
