,ETFID,ContractNum,Value
20190826,SH512710,1,
20190827,SH512710,1,103.60000000000001
20190828,SH512710,1,102.9357142857143
20190829,SH512710,1,102.63571428571431
20190830,SH512710,1,103.43571428571431
20190902,SH512710,1,106.83571428571429
20190903,SH512710,1,107.93571428571428
20190904,SH512710,1,107.83571428571427
20190905,SH512710,1,107.63571428571427
20190906,SH512710,1,107.43571428571427
20190909,SH512710,1,108.23571428571427
20190910,SH512710,1,106.9928571428571
20190911,SH512710,1,108.09285714285711
20190912,SH512710,1,108.19285714285711
20190916,SH512710,1,107.76428571428569
20190917,SH512710,1,110.3642857142857
20190918,SH512710,1,110.7642857142857
20190919,SH512710,1,111.16428571428571
20190920,SH512710,1,111.36428571428571
20190923,SH512710,1,111.36428571428571
20190924,SH512710,1,111.26428571428572
20190925,SH512710,1,112.16428571428571
20190926,SH512710,1,115.06428571428573
20190927,SH512710,1,114.56428571428575
20190930,SH512710,1,115.36428571428574
20191008,SH512710,1,116.76428571428575
20191009,SH512710,1,116.36428571428574
20191010,SH512710,1,115.56428571428575
20191011,SH512710,1,115.05000000000004
20191014,SH512710,1,115.65000000000006
20191015,SH512710,1,116.25000000000004
20191016,SH512710,1,115.77857142857148
20191017,SH512710,1,115.67857142857147
20191018,SH512710,1,115.25000000000007
20191021,SH512710,1,114.25000000000007
20191022,SH512710,1,114.95000000000007
20191023,SH512710,1,115.05000000000008
20191024,SH512710,1,114.95000000000009
20191025,SH512710,1,114.50000000000009
20191028,SH512710,1,115.10000000000008
20191029,SH512710,1,116.10000000000008
20191030,SH512710,1,116.00000000000009
20191031,SH512710,1,116.20000000000009
20191101,SH512710,1,116.6000000000001
20191104,SH512710,1,116.1285714285715
20191105,SH512710,1,115.57142857142865
20191106,SH512710,1,115.14285714285724
20191107,SH512710,1,114.69285714285725
20191108,SH512710,1,114.2642857142858
20191111,SH512710,1,115.06428571428579
20191112,SH512710,1,115.4642857142858
20191113,SH512710,1,114.9642857142858
20191114,SH512710,1,114.47142857142866
20191115,SH512710,1,113.91428571428581
20191118,SH512710,1,113.37857142857153
20191119,SH512710,1,114.17857142857153
20191120,SH512710,1,113.77142857142867
20191121,SH512710,1,113.87142857142868
20191122,SH512710,1,113.31428571428582
20191125,SH512710,1,112.92857142857154
20191126,SH512710,1,112.50000000000011
20191127,SH512710,1,112.05000000000013
20191128,SH512710,1,112.25000000000013
20191129,SH512710,1,111.55000000000013
20191202,SH512710,1,111.22857142857157
20191203,SH512710,1,111.62857142857158
20191204,SH512710,1,112.12857142857156
20191205,SH512710,1,112.62857142857155
20191206,SH512710,1,112.52857142857155
20191209,SH512710,1,112.42857142857156
20191210,SH512710,1,111.97857142857157
20191211,SH512710,1,111.67857142857159
20191212,SH512710,1,111.27857142857161
20191213,SH512710,1,111.67857142857163
20191216,SH512710,1,113.37857142857165
