,ETFID,ContractNum,Value
20180801,SZ159915,1,151.20000000000002
20180802,SZ159915,1,153.20000000000002
20180803,SZ159915,1,151.95714285714288
20180806,SZ159915,1,154.55714285714288
20180807,SZ159915,1,153.0357142857143
20180808,SZ159915,1,154.73571428571432
20180809,SZ159915,1,157.5357142857143
20180810,SZ159915,1,156.73571428571432
20180813,SZ159915,1,155.90000000000003
20180814,SZ159915,1,156.10000000000005
20180815,SZ159915,1,159.10000000000005
20180816,SZ159915,1,157.19285714285718
20180817,SZ159915,1,160.09285714285716
20180820,SZ159915,1,158.39285714285717
20180821,SZ159915,1,159.59285714285716
20180822,SZ159915,1,160.19285714285712
20180823,SZ159915,1,159.14285714285714
20180824,SZ159915,1,158.5
20180827,SZ159915,1,160.60000000000002
20180828,SZ159915,1,160.5
20180829,SZ159915,1,161.2
20180830,SZ159915,1,162.5
20180831,SZ159915,1,163.19999999999996
20180903,SZ159915,1,162.23571428571427
20180904,SZ159915,1,161.23571428571427
20180905,SZ159915,1,162.33571428571426
20180906,SZ159915,1,161.04999999999998
20180907,SZ159915,1,159.97857142857143
20180910,SZ159915,1,162.17857142857142
20180911,SZ159915,1,161.10714285714286
20180912,SZ159915,1,159.84285714285716
20180913,SZ159915,1,159.64285714285717
20180914,SZ159915,1,158.5071428571429
20180917,SZ159915,1,158.90714285714287
20180918,SZ159915,1,158.05
20180919,SZ159915,1,159.05
20180920,SZ159915,1,159.55
20180921,SZ159915,1,158.95000000000002
20180925,SZ159915,1,158.95000000000002
20180926,SZ159915,1,157.96428571428572
20180927,SZ159915,1,158.96428571428572
20180928,SZ159915,1,158.23571428571432
20181008,SZ159915,1,160.53571428571433
20181009,SZ159915,1,161.8357142857143
20181010,SZ159915,1,160.80714285714288
20181011,SZ159915,1,165.20714285714288
20181012,SZ159915,1,163.34285714285716
20181015,SZ159915,1,164.94285714285718
20181016,SZ159915,1,168.2428571428572
20181017,SZ159915,1,166.87142857142862
20181018,SZ159915,1,165.22142857142865
20181019,SZ159915,1,163.33571428571437
20181022,SZ159915,1,166.63571428571436
20181023,SZ159915,1,168.83571428571435
20181024,SZ159915,1,167.2928571428572
20181025,SZ159915,1,168.7928571428572
20181026,SZ159915,1,167.16428571428577
20181029,SZ159915,1,165.7071428571429
20181030,SZ159915,1,164.03571428571433
20181031,SZ159915,1,162.9428571428572
20181101,SZ159915,1,161.9142857142858
20181102,SZ159915,1,163.2142857142858
20181105,SZ159915,1,161.67142857142866
20181106,SZ159915,1,160.27142857142866
20181107,SZ159915,1,159.97142857142865
20181108,SZ159915,1,161.5714285714286
20181109,SZ159915,1,161.7714285714286
20181112,SZ159915,1,165.07142857142858
20181113,SZ159915,1,166.57142857142858
20181114,SZ159915,1,165.57142857142858
20181115,SZ159915,1,164.57142857142858
20181116,SZ159915,1,163.41428571428574
20181119,SZ159915,1,163.71428571428575
20181120,SZ159915,1,166.11428571428576
20181121,SZ159915,1,164.93571428571434
20181122,SZ159915,1,163.97142857142865
20181123,SZ159915,1,166.57142857142864
20181126,SZ159915,1,167.37142857142865
20181127,SZ159915,1,166.62142857142868
20181128,SZ159915,1,165.7214285714287
20181129,SZ159915,1,168.32142857142873
20181130,SZ159915,1,167.44285714285732
20181203,SZ159915,1,167.74285714285733
20181204,SZ159915,1,167.07857142857165
20181205,SZ159915,1,165.7714285714288
20181206,SZ159915,1,167.7714285714288
20181207,SZ159915,1,167.5714285714288
20181210,SZ159915,1,168.4714285714288
20181211,SZ159915,1,167.85000000000022
20181212,SZ159915,1,167.29285714285734
20181213,SZ159915,1,166.20000000000022
20181214,SZ159915,1,169.30000000000024
20181217,SZ159915,1,169.60000000000022
20181218,SZ159915,1,169.60000000000022
20181219,SZ159915,1,171.10000000000022
20181220,SZ159915,1,170.39285714285737
20181221,SZ159915,1,170.89285714285737
20181224,SZ159915,1,172.09285714285735
20181225,SZ159915,1,171.00000000000023
20181226,SZ159915,1,169.80000000000024
20181227,SZ159915,1,171.30000000000024
20181228,SZ159915,1,171.10000000000022
20190102,SZ159915,1,172.20000000000022
20190103,SZ159915,1,171.3214285714288
20190104,SZ159915,1,170.18571428571454
20190107,SZ159915,1,171.58571428571454
20190108,SZ159915,1,171.48571428571452
20190109,SZ159915,1,170.80000000000024
20190110,SZ159915,1,170.00714285714312
20190111,SZ159915,1,169.60714285714312
20190114,SZ159915,1,170.50714285714312
20190115,SZ159915,1,169.6928571428574
20190116,SZ159915,1,169.0928571428574
20190117,SZ159915,1,170.2928571428574
