,ETFID,ContractNum,Value
20180801,SH512220,1,
20180802,SH512220,1,116.31999999999998
20180803,SH512220,1,118.81999999999996
20180806,SH512220,1,119.93999999999997
20180807,SH512220,1,119.61857142857139
20180808,SH512220,1,122.1185714285714
20180809,SH512220,1,121.7542857142857
20180810,SH512220,1,121.7542857142857
20180813,SH512220,1,121.7542857142857
20180814,SH512220,1,121.95428571428567
20180815,SH512220,1,123.07428571428568
20180816,SH512220,1,123.07428571428568
20180817,SH512220,1,123.07428571428568
20180820,SH512220,1,122.0885714285714
20180821,SH512220,1,122.9885714285714
20180822,SH512220,1,121.18857142857142
20180823,SH512220,1,121.18857142857142
20180824,SH512220,1,120.73857142857143
20180827,SH512220,1,122.13857142857144
20180828,SH512220,1,122.13857142857144
20180829,SH512220,1,119.93857142857144
20180830,SH512220,1,119.93857142857144
20180831,SH512220,1,119.93857142857144
20180903,SH512220,1,119.93857142857144
20180904,SH512220,1,120.83857142857144
20180905,SH512220,1,120.83857142857144
20180906,SH512220,1,120.83857142857144
20180907,SH512220,1,120.83857142857144
20180910,SH512220,1,122.83857142857144
20180911,SH512220,1,122.83857142857144
20180912,SH512220,1,122.83857142857144
20180913,SH512220,1,122.83857142857144
20180914,SH512220,1,122.1957142857143
20180917,SH512220,1,122.1957142857143
20180918,SH512220,1,122.1957142857143
20180919,SH512220,1,122.1957142857143
20180920,SH512220,1,122.1957142857143
20180921,SH512220,1,122.1957142857143
20180925,SH512220,1,122.15285714285716
20180926,SH512220,1,124.35285714285716
20180927,SH512220,1,124.35285714285716
20180928,SH512220,1,126.35285714285716
20181008,SH512220,1,129.35285714285718
20181009,SH512220,1,125.85285714285716
20181010,SH512220,1,125.85285714285716
20181011,SH512220,1,125.85285714285716
20181012,SH512220,1,125.85285714285716
20181015,SH512220,1,125.85285714285716
20181016,SH512220,1,131.85285714285718
20181017,SH512220,1,135.35285714285718
20181018,SH512220,1,135.35285714285718
20181019,SH512220,1,135.35285714285718
20181022,SH512220,1,133.75285714285718
20181023,SH512220,1,134.6528571428572
20181024,SH512220,1,134.6528571428572
20181025,SH512220,1,137.1528571428572
20181026,SH512220,1,137.1528571428572
20181029,SH512220,1,137.1528571428572
20181030,SH512220,1,137.1528571428572
20181031,SH512220,1,137.1528571428572
20181101,SH512220,1,137.1528571428572
20181102,SH512220,1,137.1528571428572
20181105,SH512220,1,136.95285714285717
20181106,SH512220,1,137.05285714285716
20181107,SH512220,1,137.05285714285716
20181108,SH512220,1,133.65285714285716
20181109,SH512220,1,133.65285714285716
20181112,SH512220,1,133.65285714285716
20181113,SH512220,1,131.70285714285714
20181114,SH512220,1,129.80285714285716
20181115,SH512220,1,129.80285714285716
20181116,SH512220,1,129.80285714285716
20181119,SH512220,1,129.80285714285716
