,ETFID,ContractNum,Value
20200210,SZ159995,1,100.39999999999999
20200211,SZ159995,1,100.9
20200212,SZ159995,1,103.30000000000001
20200213,SZ159995,1,101.45714285714287
20200214,SZ159995,1,99.7642857142857
20200217,SZ159995,1,100.5642857142857
20200218,SZ159995,1,101.64428571428572
20200219,SZ159995,1,104.00428571428571
20200220,SZ159995,1,105.24428571428571
20200221,SZ159995,1,106.4842857142857
20200224,SZ159995,1,110.7842857142857
20200225,SZ159995,1,107.07714285714283
20200226,SZ159995,1,109.43714285714285
20200227,SZ159995,1,111.67714285714287
20200228,SZ159995,1,109.92000000000002
20200302,SZ159995,1,107.30571428571429
20200303,SZ159995,1,108.42571428571429
20200304,SZ159995,1,110.46571428571428
20200305,SZ159995,1,109.24428571428571
20200306,SZ159995,1,107.59428571428569
20200309,SZ159995,1,108.47428571428568
20200310,SZ159995,1,113.3742857142857
20200311,SZ159995,1,116.3742857142857
20200312,SZ159995,1,114.7885714285714
20200313,SZ159995,1,116.1085714285714
20200316,SZ159995,1,119.70857142857137
20200317,SZ159995,1,117.00857142857139
20200318,SZ159995,1,118.00857142857139
20200319,SZ159995,1,115.99428571428568
20200320,SZ159995,1,116.1942857142857
20200323,SZ159995,1,117.1142857142857
20200324,SZ159995,1,118.1142857142857
20200325,SZ159995,1,116.80714285714284
20200326,SZ159995,1,118.40714285714283
20200327,SZ159995,1,117.24999999999996
20200330,SZ159995,1,115.92142857142852
20200331,SZ159995,1,114.12142857142854
20200401,SZ159995,1,113.11428571428567
20200402,SZ159995,1,118.31428571428567
20200403,SZ159995,1,116.85714285714282
20200407,SZ159995,1,116.17142857142854
20200408,SZ159995,1,115.33571428571426
20200409,SZ159995,1,115.93571428571427
20200410,SZ159995,1,119.63571428571427
20200413,SZ159995,1,120.13571428571427
20200414,SZ159995,1,122.03571428571426
20200415,SZ159995,1,123.67571428571426
20200416,SZ159995,1,122.08999999999996
20200417,SZ159995,1,122.96999999999996
20200420,SZ159995,1,122.2628571428571
20200421,SZ159995,1,123.22285714285711
20200422,SZ159995,1,122.19428571428567
20200423,SZ159995,1,120.92999999999995
20200424,SZ159995,1,123.02999999999996
20200427,SZ159995,1,122.27999999999994
20200428,SZ159995,1,120.13714285714279
20200429,SZ159995,1,120.33714285714281
20200430,SZ159995,1,125.3371428571428
20200506,SZ159995,1,128.23714285714277
20200507,SZ159995,1,126.23714285714277
20200508,SZ159995,1,124.37285714285706
20200511,SZ159995,1,123.10857142857137
20200512,SZ159995,1,121.99428571428565
20200513,SZ159995,1,121.02999999999994
20200514,SZ159995,1,119.82999999999997
20200515,SZ159995,1,121.92999999999996
20200518,SZ159995,1,120.45142857142855
20200519,SZ159995,1,118.67285714285713
20200520,SZ159995,1,116.87285714285713
20200521,SZ159995,1,120.17285714285713
20200522,SZ159995,1,121.61285714285712
20200525,SZ159995,1,122.61285714285712
20200526,SZ159995,1,123.11285714285711
20200527,SZ159995,1,124.51285714285711
20200528,SZ159995,1,125.55285714285714
20200529,SZ159995,1,125.35285714285713
20200601,SZ159995,1,128.5528571428571
20200602,SZ159995,1,127.63142857142853
20200603,SZ159995,1,126.4528571428571
20200604,SZ159995,1,127.05285714285709
20200605,SZ159995,1,125.87428571428566
20200608,SZ159995,1,127.57428571428565
20200609,SZ159995,1,127.77428571428565
20200610,SZ159995,1,127.37428571428565
20200611,SZ159995,1,126.28142857142849
20200612,SZ159995,1,125.31714285714278
20200615,SZ159995,1,123.62428571428565
20200616,SZ159995,1,122.72428571428564
20200617,SZ159995,1,122.92428571428565
20200618,SZ159995,1,124.72428571428564
20200619,SZ159995,1,123.95285714285711
20200622,SZ159995,1,126.0528571428571
20200623,SZ159995,1,124.74571428571424
20200624,SZ159995,1,123.43857142857138
20200629,SZ159995,1,122.32428571428565
20200630,SZ159995,1,123.52428571428565
20200701,SZ159995,1,124.52428571428565
20200702,SZ159995,1,125.52428571428565
20200703,SZ159995,1,123.78857142857137
20200706,SZ159995,1,131.8885714285714
20200707,SZ159995,1,128.8242857142857
20200708,SZ159995,1,126.18857142857144
20200709,SZ159995,1,127.88857142857145
20200710,SZ159995,1,124.58857142857146
20200713,SZ159995,1,129.38857142857142
20200714,SZ159995,1,131.0285714285714
20200715,SZ159995,1,132.78857142857143
20200716,SZ159995,1,134.3485714285714
20200717,SZ159995,1,130.72714285714284
20200720,SZ159995,1,134.62714285714284
20200721,SZ159995,1,132.82714285714283
20200722,SZ159995,1,132.02714285714282
20200723,SZ159995,1,130.41999999999996
20200724,SZ159995,1,136.31999999999996
20200727,SZ159995,1,137.31999999999996
20200728,SZ159995,1,137.71999999999997
20200729,SZ159995,1,143.41999999999993
20200730,SZ159995,1,143.2199999999999
20200731,SZ159995,1,144.91999999999993
20200803,SZ159995,1,147.11999999999995
20200804,SZ159995,1,148.23999999999992
20200805,SZ159995,1,147.03999999999994
20200806,SZ159995,1,144.48999999999992
20200807,SZ159995,1,146.72999999999993
20200810,SZ159995,1,145.42285714285708
