,ETFID,ContractNum,Value
20190826,SH512710,1,101.0
20190827,SH512710,1,101.69999999999999
20190828,SH512710,1,101.03571428571428
20190829,SH512710,1,100.7357142857143
20190830,SH512710,1,101.53571428571429
20190902,SH512710,1,105.03571428571428
20190903,SH512710,1,106.13571428571427
20190904,SH512710,1,106.63571428571429
20190905,SH512710,1,106.43571428571428
20190906,SH512710,1,105.77142857142854
20190909,SH512710,1,106.57142857142854
20190910,SH512710,1,106.57142857142854
20190911,SH512710,1,106.57142857142854
20190912,SH512710,1,106.57142857142854
20190916,SH512710,1,106.12142857142855
20190917,SH512710,1,106.12142857142855
20190918,SH512710,1,105.72142857142855
20190919,SH512710,1,106.42142857142856
20190920,SH512710,1,106.02142857142856
20190923,SH512710,1,106.02142857142856
20190924,SH512710,1,105.92142857142856
20190925,SH512710,1,105.32142857142854
20190926,SH512710,1,105.32142857142854
20190927,SH512710,1,104.82142857142856
20190930,SH512710,1,104.32142857142857
20191008,SH512710,1,104.32142857142857
20191009,SH512710,1,103.80714285714286
20191010,SH512710,1,103.3357142857143
20191011,SH512710,1,103.4357142857143
20191014,SH512710,1,104.3357142857143
20191015,SH512710,1,104.3357142857143
20191016,SH512710,1,104.3357142857143
20191017,SH512710,1,104.3357142857143
20191018,SH512710,1,103.9071428571429
20191021,SH512710,1,104.5071428571429
20191022,SH512710,1,105.2071428571429
20191023,SH512710,1,105.2071428571429
20191024,SH512710,1,104.62857142857148
20191025,SH512710,1,105.8285714285715
20191028,SH512710,1,106.32857142857148
20191029,SH512710,1,106.32857142857148
20191030,SH512710,1,105.85714285714292
20191031,SH512710,1,105.85714285714292
20191101,SH512710,1,106.25714285714292
20191104,SH512710,1,105.78571428571433
20191105,SH512710,1,106.08571428571435
20191106,SH512710,1,105.78571428571433
20191107,SH512710,1,105.33571428571435
20191108,SH512710,1,104.97142857142862
20191111,SH512710,1,104.97142857142862
20191112,SH512710,1,105.57142857142861
20191113,SH512710,1,105.2071428571429
20191114,SH512710,1,105.2071428571429
20191115,SH512710,1,104.88571428571433
20191118,SH512710,1,105.08571428571432
20191119,SH512710,1,106.08571428571432
20191120,SH512710,1,106.08571428571432
20191121,SH512710,1,106.18571428571433
20191122,SH512710,1,105.62857142857146
20191125,SH512710,1,105.82857142857146
20191126,SH512710,1,106.02857142857147
20191127,SH512710,1,105.72857142857147
20191128,SH512710,1,105.52857142857147
20191129,SH512710,1,105.14285714285718
20191202,SH512710,1,104.82142857142863
20191203,SH512710,1,104.92142857142863
20191204,SH512710,1,105.52142857142863
20191205,SH512710,1,105.9214285714286
20191206,SH512710,1,105.9214285714286
20191209,SH512710,1,105.53571428571433
20191210,SH512710,1,106.23571428571432
20191211,SH512710,1,106.23571428571432
20191212,SH512710,1,106.03571428571435
20191213,SH512710,1,106.53571428571436
20191216,SH512710,1,108.23571428571438
20191217,SH512710,1,109.03571428571438
20191218,SH512710,1,109.03571428571438
20191219,SH512710,1,108.83571428571436
20191220,SH512710,1,108.83571428571436
20191223,SH512710,1,108.83571428571436
20191224,SH512710,1,109.53571428571435
20191225,SH512710,1,109.83571428571433
20191226,SH512710,1,110.13571428571431
20191227,SH512710,1,109.53571428571432
20191230,SH512710,1,109.93571428571433
20191231,SH512710,1,110.33571428571433
20200102,SH512710,1,111.73571428571431
20200103,SH512710,1,112.83571428571432
20200106,SH512710,1,112.27857142857147
20200107,SH512710,1,112.77857142857148
20200108,SH512710,1,112.02857142857148
20200109,SH512710,1,112.02857142857148
20200110,SH512710,1,112.02857142857148
20200113,SH512710,1,113.3285714285715
20200114,SH512710,1,113.3285714285715
20200115,SH512710,1,113.4285714285715
20200116,SH512710,1,113.3285714285715
20200117,SH512710,1,113.02857142857148
20200120,SH512710,1,113.5285714285715
20200121,SH512710,1,113.5285714285715
20200122,SH512710,1,115.62857142857149
20200123,SH512710,1,115.62857142857149
20200203,SH512710,1,115.12857142857149
20200204,SH512710,1,115.92857142857149
20200205,SH512710,1,117.04857142857149
20200206,SH512710,1,118.3485714285715
20200207,SH512710,1,117.44857142857151
20200210,SH512710,1,117.44857142857151
20200211,SH512710,1,116.84857142857152
20200212,SH512710,1,118.3485714285715
20200213,SH512710,1,117.59857142857152
20200214,SH512710,1,117.06285714285724
20200217,SH512710,1,121.26285714285724
20200218,SH512710,1,121.46285714285725
20200219,SH512710,1,120.76285714285723
20200220,SH512710,1,122.16285714285723
20200221,SH512710,1,124.46285714285725
20200224,SH512710,1,125.16285714285726
20200225,SH512710,1,127.66285714285725
20200226,SH512710,1,126.5700000000001
20200227,SH512710,1,125.87000000000009
20200228,SH512710,1,124.7342857142858
20200302,SH512710,1,126.7342857142858
20200303,SH512710,1,127.6342857142858
20200304,SH512710,1,127.9342857142858
20200305,SH512710,1,127.9342857142858
20200306,SH512710,1,127.83428571428581
20200309,SH512710,1,126.63428571428581
20200310,SH512710,1,130.8342857142858
20200311,SH512710,1,129.7342857142858
20200312,SH512710,1,128.5342857142858
20200313,SH512710,1,130.9342857142858
20200316,SH512710,1,130.9342857142858
20200317,SH512710,1,130.63428571428582
20200318,SH512710,1,129.64857142857156
20200319,SH512710,1,130.14857142857156
20200320,SH512710,1,130.64857142857156
20200323,SH512710,1,128.84857142857155
20200324,SH512710,1,127.2414285714287
20200325,SH512710,1,127.54142857142871
20200326,SH512710,1,127.00571428571443
20200327,SH512710,1,126.51285714285731
20200330,SH512710,1,127.41285714285732
20200331,SH512710,1,127.41285714285732
20200401,SH512710,1,126.81285714285733
20200402,SH512710,1,129.0128571428573
20200403,SH512710,1,129.0128571428573
20200407,SH512710,1,130.41285714285732
20200408,SH512710,1,129.72714285714304
20200409,SH512710,1,128.69857142857163
20200410,SH512710,1,127.8200000000002
20200413,SH512710,1,127.8200000000002
20200414,SH512710,1,127.32000000000019
20200415,SH512710,1,127.32000000000019
20200416,SH512710,1,127.7200000000002
20200417,SH512710,1,127.12000000000022
20200420,SH512710,1,127.62000000000023
20200421,SH512710,1,128.0200000000002
20200422,SH512710,1,128.5200000000002
20200423,SH512710,1,128.8200000000002
20200424,SH512710,1,128.8200000000002
20200427,SH512710,1,128.8200000000002
20200428,SH512710,1,129.9200000000002
20200429,SH512710,1,130.4200000000002
20200430,SH512710,1,132.1200000000002
20200506,SH512710,1,134.02000000000018
20200507,SH512710,1,133.52714285714305
20200508,SH512710,1,133.82714285714306
20200511,SH512710,1,133.22714285714306
20200512,SH512710,1,132.41285714285735
20200513,SH512710,1,132.51285714285737
20200514,SH512710,1,132.41285714285738
20200515,SH512710,1,132.0128571428574
20200518,SH512710,1,131.5128571428574
20200519,SH512710,1,131.81285714285738
20200520,SH512710,1,131.81285714285738
20200521,SH512710,1,131.2128571428574
20200522,SH512710,1,130.7128571428574
20200525,SH512710,1,130.7128571428574
20200526,SH512710,1,131.5128571428574
20200527,SH512710,1,131.5128571428574
20200528,SH512710,1,132.0128571428574
20200529,SH512710,1,131.5628571428574
20200601,SH512710,1,132.86285714285742
20200602,SH512710,1,132.7628571428574
20200603,SH512710,1,132.3628571428574
20200604,SH512710,1,132.26285714285737
20200605,SH512710,1,132.36285714285737
20200608,SH512710,1,131.78428571428594
20200609,SH512710,1,131.88428571428597
20200610,SH512710,1,131.88428571428597
20200611,SH512710,1,131.88428571428597
20200612,SH512710,1,132.48428571428596
20200615,SH512710,1,132.0128571428574
20200616,SH512710,1,131.58428571428595
20200617,SH512710,1,131.78428571428594
20200618,SH512710,1,131.98428571428596
20200619,SH512710,1,132.88428571428597
20200622,SH512710,1,132.88428571428597
20200623,SH512710,1,133.48428571428593
20200624,SH512710,1,133.48428571428593
20200629,SH512710,1,132.94857142857163
20200630,SH512710,1,134.04857142857162
20200701,SH512710,1,134.04857142857162
20200702,SH512710,1,134.9485714285716
20200703,SH512710,1,134.45571428571444
20200706,SH512710,1,140.45571428571444
20200707,SH512710,1,140.45571428571444
20200708,SH512710,1,145.45571428571444
20200709,SH512710,1,145.25571428571442
20200710,SH512710,1,143.4557142857144
20200713,SH512710,1,144.85571428571436
20200714,SH512710,1,141.42714285714294
20200715,SH512710,1,139.32714285714292
20200716,SH512710,1,139.32714285714292
20200717,SH512710,1,141.04714285714292
20200720,SH512710,1,146.34714285714293
20200721,SH512710,1,146.34714285714293
20200722,SH512710,1,145.04714285714294
20200723,SH512710,1,142.13285714285723
20200724,SH512710,1,142.13285714285723
20200727,SH512710,1,139.96857142857152
20200728,SH512710,1,138.7900000000001
20200729,SH512710,1,142.1900000000001
20200730,SH512710,1,139.64000000000013
20200731,SH512710,1,139.64000000000013
20200803,SH512710,1,149.44000000000014
20200804,SH512710,1,147.83285714285728
20200805,SH512710,1,150.73285714285728
20200806,SH512710,1,147.947142857143
20200807,SH512710,1,152.04714285714303
20200810,SH512710,1,149.54714285714303
