,ETFID,ContractNum,Value
20200210,SZ159995,1,
20200211,SZ159995,1,103.90000000000002
20200212,SZ159995,1,106.50000000000003
20200213,SZ159995,1,107.66000000000004
20200214,SZ159995,1,105.96714285714287
20200217,SZ159995,1,106.66714285714286
20200218,SZ159995,1,110.16714285714288
20200219,SZ159995,1,111.60714285714288
20200220,SZ159995,1,115.50714285714287
20200221,SZ159995,1,113.92142857142859
20200224,SZ159995,1,118.52142857142857
20200225,SZ159995,1,114.8142857142857
20200226,SZ159995,1,112.11428571428569
20200227,SZ159995,1,109.21428571428567
20200228,SZ159995,1,111.41428571428567
20200302,SZ159995,1,112.41428571428567
20200303,SZ159995,1,113.53428571428567
20200304,SZ159995,1,113.43428571428568
20200305,SZ159995,1,113.93428571428569
20200306,SZ159995,1,112.94857142857141
20200309,SZ159995,1,112.94857142857141
20200310,SZ159995,1,117.84857142857143
20200311,SZ159995,1,117.84857142857143
20200312,SZ159995,1,117.84857142857143
20200313,SZ159995,1,119.16857142857143
20200316,SZ159995,1,119.16857142857143
20200317,SZ159995,1,120.28857142857142
20200318,SZ159995,1,121.28857142857142
20200319,SZ159995,1,121.9885714285714
20200320,SZ159995,1,121.5885714285714
20200323,SZ159995,1,121.5885714285714
20200324,SZ159995,1,119.4885714285714
20200325,SZ159995,1,118.18142857142854
20200326,SZ159995,1,116.6385714285714
20200327,SZ159995,1,116.6385714285714
20200330,SZ159995,1,117.93857142857138
20200331,SZ159995,1,116.1385714285714
20200401,SZ159995,1,115.13142857142853
20200402,SZ159995,1,120.63142857142853
20200403,SZ159995,1,120.63142857142853
20200407,SZ159995,1,120.63142857142853
20200408,SZ159995,1,120.63142857142853
20200409,SZ159995,1,120.53142857142852
20200410,SZ159995,1,120.53142857142852
20200413,SZ159995,1,120.33142857142853
20200414,SZ159995,1,122.03142857142853
20200415,SZ159995,1,123.51142857142854
20200416,SZ159995,1,124.91142857142853
20200417,SZ159995,1,123.98999999999995
20200420,SZ159995,1,123.15428571428566
20200421,SZ159995,1,123.45428571428567
20200422,SZ159995,1,122.42571428571424
20200423,SZ159995,1,122.42571428571424
20200424,SZ159995,1,122.42571428571424
20200427,SZ159995,1,121.92571428571424
20200428,SZ159995,1,123.62571428571424
20200429,SZ159995,1,123.62571428571424
20200430,SZ159995,1,128.82571428571424
20200506,SZ159995,1,131.72571428571422
20200507,SZ159995,1,129.72571428571422
20200508,SZ159995,1,127.8614285714285
20200511,SZ159995,1,126.2971428571428
20200512,SZ159995,1,128.7971428571428
20200513,SZ159995,1,129.4971428571428
20200514,SZ159995,1,128.2971428571428
20200515,SZ159995,1,130.3971428571428
20200518,SZ159995,1,130.3971428571428
20200519,SZ159995,1,133.59714285714279
20200520,SZ159995,1,131.79714285714277
20200521,SZ159995,1,131.79714285714277
20200522,SZ159995,1,132.79714285714277
20200525,SZ159995,1,131.76857142857133
20200526,SZ159995,1,132.66857142857134
20200527,SZ159995,1,131.57571428571418
20200528,SZ159995,1,132.27571428571417
20200529,SZ159995,1,131.48285714285703
20200601,SZ159995,1,134.68285714285702
20200602,SZ159995,1,133.58999999999986
20200603,SZ159995,1,134.74999999999986
20200604,SZ159995,1,134.74999999999986
20200605,SZ159995,1,133.57142857142844
20200608,SZ159995,1,133.57142857142844
20200609,SZ159995,1,133.67142857142846
20200610,SZ159995,1,133.77142857142846
20200611,SZ159995,1,132.6785714285713
20200612,SZ159995,1,132.97857142857129
20200615,SZ159995,1,132.12142857142842
20200616,SZ159995,1,131.22142857142842
20200617,SZ159995,1,131.4214285714284
20200618,SZ159995,1,133.0214285714284
20200619,SZ159995,1,134.5214285714284
20200622,SZ159995,1,134.92142857142838
20200623,SZ159995,1,135.62142857142837
20200624,SZ159995,1,136.52142857142837
20200629,SZ159995,1,136.52142857142837
20200630,SZ159995,1,137.72142857142836
20200701,SZ159995,1,138.72142857142836
20200702,SZ159995,1,139.72142857142836
20200703,SZ159995,1,140.02142857142834
20200706,SZ159995,1,148.12142857142837
20200707,SZ159995,1,145.05714285714268
20200708,SZ159995,1,148.05714285714268
20200709,SZ159995,1,149.7571428571427
20200710,SZ159995,1,146.4571428571427
20200713,SZ159995,1,151.3571428571427
20200714,SZ159995,1,154.3571428571427
20200715,SZ159995,1,155.5171428571427
20200716,SZ159995,1,155.5171428571427
20200717,SZ159995,1,152.3171428571427
20200720,SZ159995,1,155.41714285714272
20200721,SZ159995,1,153.38142857142842
20200722,SZ159995,1,151.6814285714284
20200723,SZ159995,1,153.38142857142842
20200724,SZ159995,1,153.38142857142842
20200727,SZ159995,1,151.51714285714272
20200728,SZ159995,1,151.51714285714272
20200729,SZ159995,1,157.21714285714268
20200730,SZ159995,1,157.21714285714268
20200731,SZ159995,1,158.9171428571427
20200803,SZ159995,1,161.1171428571427
20200804,SZ159995,1,159.4671428571427
20200805,SZ159995,1,158.26714285714272
20200806,SZ159995,1,156.83142857142843
20200807,SZ159995,1,158.43142857142846
20200810,SZ159995,1,159.43142857142846
