,ETFID,ContractNum,Value
20180801,SZ159915,1,
20180802,SZ159915,1,
20180803,SZ159915,1,
20180806,SZ159915,1,
20180807,SZ159915,1,141.0
20180808,SZ159915,1,141.0
20180809,SZ159915,1,143.1
20180810,SZ159915,1,143.1
20180813,SZ159915,1,144.79999999999998
20180814,SZ159915,1,144.79999999999998
20180815,SZ159915,1,144.79999999999998
20180816,SZ159915,1,144.79999999999998
20180817,SZ159915,1,144.79999999999998
20180820,SZ159915,1,144.79999999999998
20180821,SZ159915,1,145.99999999999997
20180822,SZ159915,1,145.99999999999997
20180823,SZ159915,1,144.79999999999998
20180824,SZ159915,1,144.1
20180827,SZ159915,1,146.20000000000002
20180828,SZ159915,1,146.20000000000002
20180829,SZ159915,1,146.20000000000002
20180830,SZ159915,1,146.20000000000002
20180831,SZ159915,1,146.20000000000002
20180903,SZ159915,1,146.20000000000002
20180904,SZ159915,1,147.00000000000003
20180905,SZ159915,1,147.00000000000003
20180906,SZ159915,1,147.00000000000003
20180907,SZ159915,1,145.95000000000005
20180910,SZ159915,1,145.95000000000005
20180911,SZ159915,1,145.95000000000005
20180912,SZ159915,1,145.95000000000005
20180913,SZ159915,1,146.75000000000006
20180914,SZ159915,1,145.61428571428578
20180917,SZ159915,1,145.61428571428578
20180918,SZ159915,1,147.2142857142858
20180919,SZ159915,1,147.7142857142858
20180920,SZ159915,1,147.7142857142858
20180921,SZ159915,1,148.7142857142858
20180925,SZ159915,1,148.7142857142858
20180926,SZ159915,1,148.7142857142858
20180927,SZ159915,1,148.7142857142858
20180928,SZ159915,1,148.5142857142858
20181008,SZ159915,1,148.5142857142858
20181009,SZ159915,1,148.5142857142858
20181010,SZ159915,1,147.4642857142858
20181011,SZ159915,1,147.4642857142858
20181012,SZ159915,1,147.6642857142858
20181015,SZ159915,1,147.6642857142858
20181016,SZ159915,1,147.6642857142858
20181017,SZ159915,1,147.3642857142858
20181018,SZ159915,1,147.3642857142858
20181019,SZ159915,1,149.0642857142858
20181022,SZ159915,1,151.2642857142858
20181023,SZ159915,1,151.2642857142858
20181024,SZ159915,1,149.95714285714294
20181025,SZ159915,1,150.25714285714295
20181026,SZ159915,1,150.25714285714295
20181029,SZ159915,1,150.25714285714295
20181030,SZ159915,1,151.45714285714294
20181031,SZ159915,1,150.10714285714295
20181101,SZ159915,1,149.01428571428582
20181102,SZ159915,1,149.01428571428582
20181105,SZ159915,1,147.32142857142867
20181106,SZ159915,1,147.92142857142863
20181107,SZ159915,1,147.62142857142862
20181108,SZ159915,1,147.62142857142862
20181109,SZ159915,1,147.62142857142862
20181112,SZ159915,1,150.62142857142862
20181113,SZ159915,1,149.12142857142862
20181114,SZ159915,1,148.1785714285715
20181115,SZ159915,1,149.1785714285715
20181116,SZ159915,1,148.77857142857152
20181119,SZ159915,1,148.77857142857152
20181120,SZ159915,1,148.77857142857152
20181121,SZ159915,1,148.77857142857152
20181122,SZ159915,1,148.77857142857152
20181123,SZ159915,1,148.77857142857152
20181126,SZ159915,1,148.77857142857152
20181127,SZ159915,1,148.02857142857152
20181128,SZ159915,1,148.9285714285715
20181129,SZ159915,1,148.9285714285715
20181130,SZ159915,1,150.02857142857152
20181203,SZ159915,1,150.32857142857154
20181204,SZ159915,1,150.32857142857154
20181205,SZ159915,1,150.72857142857154
20181206,SZ159915,1,150.72857142857154
20181207,SZ159915,1,150.72857142857154
20181210,SZ159915,1,150.72857142857154
20181211,SZ159915,1,150.10714285714297
20181212,SZ159915,1,150.10714285714297
20181213,SZ159915,1,150.10714285714297
20181214,SZ159915,1,150.10714285714297
20181217,SZ159915,1,149.807142857143
20181218,SZ159915,1,149.807142857143
20181219,SZ159915,1,149.807142857143
20181220,SZ159915,1,149.807142857143
20181221,SZ159915,1,149.807142857143
20181224,SZ159915,1,149.14285714285725
20181225,SZ159915,1,150.94285714285726
20181226,SZ159915,1,150.94285714285726
20181227,SZ159915,1,150.94285714285726
20181228,SZ159915,1,150.94285714285726
20190102,SZ159915,1,150.94285714285726
20190103,SZ159915,1,150.94285714285726
20190104,SZ159915,1,152.74285714285725
20190107,SZ159915,1,154.14285714285725
20190108,SZ159915,1,154.14285714285725
20190109,SZ159915,1,153.56428571428583
20190110,SZ159915,1,152.79285714285726
20190111,SZ159915,1,152.79285714285726
20190114,SZ159915,1,152.79285714285726
20190115,SZ159915,1,153.99285714285725
20190116,SZ159915,1,153.99285714285725
20190117,SZ159915,1,153.99285714285725
20190118,SZ159915,1,154.69285714285726
20190121,SZ159915,1,154.0714285714287
20190122,SZ159915,1,154.0714285714287
20190123,SZ159915,1,154.0714285714287
