ETF	maLength		LongHoldBars	年化收益	年化波动	收益波动比	最大回撤	总费率	总交易天数	总换仓次数
芯片ETF	10	OnlyLong	2	1.371368045	0.244260503	5.614366739	0.07852709	0.487057548	123	102
TMTETF	10	OnlyLong	2	0.44512696	0.127086721	3.502545008	0.103395593	0.740568064	490	296
创业板	10	OnlyLong	2	0.375779677	0.128206499	2.931050146	0.062493688	0.692748207	490	385
军工龙头ETF	10	OnlyLong	2	0.505781772	0.1645301	3.074098724	0.051638472	0.684002937	231	195
新能源车ETF	10	OnlyLong	2	0.284203852	0.144636857	1.964947646	0.043055357	0.767120304	106	88
芯片ETF	10	BiDirection	2	0.965591364	0.294664589	3.276916874	0.103559094	0.605244446	124	125
TMTETF	10	BiDirection	2	0.485058097	0.149099054	3.253260737	0.097644209	0.777127637	490	412
创业板	10	BiDirection	2	0.498414235	0.135099784	3.689230428	0.047806945	0.658731468	491	492
军工龙头ETF	10	BiDirection	2	0.723035484	0.169140156	4.274771299	0.043855009	0.641773866	231	231
新能源车ETF	10	BiDirection	2	0.978914208	0.184503222	5.305675398	0.034805019	0.568527737	107	108
芯片ETF	20	OnlyLong	2	1.198183118	0.233380822	5.134025612	0.056789578	0.497314325	123	95
TMTETF	20	OnlyLong	2	0.437431266	0.117103183	3.735434467	0.085335693	0.722267825	490	264
创业板	20	OnlyLong	2	0.436986661	0.128467527	3.401533986	0.065460614	0.651091223	487	359
军工龙头ETF	20	OnlyLong	2	0.551637218	0.163461035	3.374732207	0.054646946	0.644444009	231	179
新能源车ETF	20	OnlyLong	2	0.277971339	0.136126658	2.042005172	0.04154024	0.739192396	106	74
芯片ETF	20	BiDirection	2	1.171465642	0.269296886	4.350089814	0.06497342	0.567398031	124	125
TMTETF	20	BiDirection	2	0.524435578	0.144312924	3.634016711	0.061800661	0.756347256	490	403
创业板	20	BiDirection	2	0.460016272	0.14431071	3.187679365	0.05072985	0.680537425	491	492
军工龙头ETF	20	BiDirection	2	0.6899845	0.182961571	3.771199032	0.048037761	0.65143847	231	230
新能源车ETF	20	BiDirection	2	0.863917132	0.191099577	4.520769459	0.046870657	0.589612966	107	106
芯片ETF	30	OnlyLong	2	1.022945223	0.238941392	4.281155366	0.061165331	0.516991105	123	90
TMTETF	30	OnlyLong	2	0.44202029	0.114494602	3.860621214	0.083878201	0.710937988	490	252
创业板	30	OnlyLong	2	0.426801694	0.124321253	3.433054961	0.07517157	0.640823566	487	341
军工龙头ETF	30	OnlyLong	2	0.504585698	0.163067991	3.094327069	0.041528722	0.645181398	230	167
新能源车ETF	30	OnlyLong	2	0.210545776	0.135840021	1.549953943	0.043103448	0.785568181	106	73
芯片ETF	30	BiDirection	2	1.102238477	0.28531022	3.863298268	0.088619299	0.586231175	124	125
TMTETF	30	BiDirection	2	0.553065489	0.134540471	4.110774147	0.074103335	0.741050569	490	395
