	年化收益	年化波动	收益波动比	最大回撤	总费率	总交易天数	总换仓次数
300ETF_maL_10_OnlyLong_Jump_longBars2	0.217465533	0.108047168	2.012690731	0.06549085	0.525548459	489	396
500ETF_maL_10_OnlyLong_Jump_longBars2	0.261311845	0.117543381	2.223109816	0.055505132	0.465199017	490	417
50ETF_maL_10_OnlyLong_Jump_longBars2	0.19928035	0.101000236	1.973068174	0.04491348	0.567600562	490	415
5GETF_maL_10_OnlyLong_Jump_longBars2	0.897201487	0.171030362	5.245860889	0.038786922	0.254055935	198	169
H股ETF_maL_10_OnlyLong_Jump_longBars2	0.055374285	0.077672613	0.712919047	0.060995949	0.778381857	489	332
TMTETF_maL_10_OnlyLong_Jump_longBars2	0.44512696	0.127086721	3.502545008	0.103395593	0.276460011	490	296
XFETF_maL_10_OnlyLong_Jump_longBars2	0.495998109	0.108081846	4.589097322	0.033437543	0.332867768	489	402
军工ETF_maL_10_OnlyLong_Jump_longBars2	0.264921844	0.154732651	1.712126315	0.082158829	0.44810049	490	361
军工龙头ETF_maL_10_OnlyLong_Jump_longBars2	0.505781772	0.1645301	3.074098724	0.051638472	0.346515225	231	195
创业50_maL_10_OnlyLong_Jump_longBars2	0.428449662	0.137399377	3.11827951	0.068371371	0.307659848	490	336
创业板_maL_10_OnlyLong_Jump_longBars2	0.375779677	0.128206499	2.931050146	0.062493688	0.371024726	490	385
券商ETF_maL_10_OnlyLong_Jump_longBars2	0.485552447	0.163136162	2.97636306	0.06059115	0.287270264	490	315
新能源车ETF_maL_10_OnlyLong_Jump_longBars2	0.284203852	0.144636857	1.964947646	0.043055357	0.46629957	106	88
有色金属ETF_maL_10_OnlyLong_Jump_longBars2	0.325036523	0.091926114	3.535845365	0.035228761	0.344105307	490	354
芯片ETF_maL_10_OnlyLong_Jump_longBars2	1.371368045	0.244260503	5.614366739	0.07852709	0.201621292	123	102
证券ETF_maL_10_OnlyLong_Jump_longBars2	0.355004409	0.174699176	2.032089778	0.107849049	0.380917763	488	327
银行ETF_maL_10_OnlyLong_Jump_longBars2	0.255826418	0.087311076	2.930056874	0.044167778	0.416610583	489	310
黄金ETF_maL_10_OnlyLong_Jump_longBars2	0.046317138	0.040702973	1.137930097	0.021187387	0.826332608	491	311
300ETF_maL_10_BiDirection_Jump_longBars2	0.31894051	0.11130012	2.865589983	0.045100608	0.451725047	491	492
500ETF_maL_10_BiDirection_Jump_longBars2	0.251434224	0.13590414	1.850085095	0.063935998	0.500688969	491	492
50ETF_maL_10_BiDirection_Jump_longBars2	0.28703159	0.105000166	2.733629879	0.046498647	0.491215026	491	492
5GETF_maL_10_BiDirection_Jump_longBars2	0.548510943	0.23303699	2.353750545	0.161326351	0.386049769	200	201
H股ETF_maL_10_BiDirection_Jump_longBars2	0.24423003	0.077700051	3.143241571	0.025991281	0.504281748	491	482
TMTETF_maL_10_BiDirection_Jump_longBars2	0.485058097	0.149099054	3.253260737	0.097644209	0.31821059	490	412
XFETF_maL_10_BiDirection_Jump_longBars2	0.341028412	0.135723723	2.512666207	0.060464484	0.471612015	491	492
军工ETF_maL_10_BiDirection_Jump_longBars2	0.310862515	0.160411183	1.937910497	0.054718714	0.450813792	491	485
军工龙头ETF_maL_10_BiDirection_Jump_longBars2	0.723035484	0.169140156	4.274771299	0.043855009	0.305010569	231	231
创业50_maL_10_BiDirection_Jump_longBars2	0.474223684	0.154405031	3.071296832	0.073972603	0.340483024	491	481
创业板_maL_10_BiDirection_Jump_longBars2	0.498414235	0.135099784	3.689230428	0.047806945	0.335552837	491	492
券商ETF_maL_10_BiDirection_Jump_longBars2	0.468217571	0.169065926	2.769437831	0.066330878	0.373474377	491	487
新能源车ETF_maL_10_BiDirection_Jump_longBars2	0.978914208	0.184503222	5.305675398	0.034805019	0.258979156	107	108
有色金属ETF_maL_10_BiDirection_Jump_longBars2	0.345658291	0.09986244	3.461344338	0.038980207	0.386503655	491	489
芯片ETF_maL_10_BiDirection_Jump_longBars2	0.965591364	0.294664589	3.276916874	0.103559094	0.289658163	124	125
证券ETF_maL_10_BiDirection_Jump_longBars2	0.394574918	0.172895798	2.28215447	0.071128875	0.42298931	491	489
银行ETF_maL_10_BiDirection_Jump_longBars2	0.262784273	0.093532609	2.809547132	0.037434952	0.501810326	491	483
